ID,Yield
ID_SO3VW2X4QO93,386.3
ID_QUISMWEZR2H4,256.65
ID_WI17R25TC2VU,322.39
ID_SCAOUCCTJ75Z,4.0
ID_2WH3AXUWRS2A,226.16
ID_LBS8TBC6QEF1,294.57
ID_BY9JJAIKBRGP,313.9
ID_RFM5MWSIU1JX,319.4
ID_L3RTRS1QIY6D,308.46
ID_03QW4RBYQEBK,399.6
ID_4H0KNHPKF9BK,164.04
ID_3EUKVYT37JOP,223.4
ID_2OICAUFVUF5S,219.87
ID_75GYXJW1DYGX,314.1
ID_NJ7G0SAVDN1Q,320.2
ID_CR6L4TL2VEEM,254.21
ID_WYK6LRWQ21ML,329.16
ID_FTSIEXKUER9Y,325.45
ID_DJBLGDPMS85M,4.0
ID_P8MQS1ERUQ9F,234.95
ID_IKAOSO0CFKYZ,248.07
ID_OFSHZ2KZ1LQ4,4.0
ID_N99MP1180BJ5,222.93
ID_D5F8SLVPMZKE,118.74
ID_S1WHDBHNKLYO,334.67
ID_41XNQZ8M4QXH,360.45
ID_M47IW492SXOP,142.34
ID_RIP1ZN0ST7I3,23.38
ID_EVGU94YQTZWM,141.78
ID_QN4PJSV2CGSJ,268.1
ID_Q95BUWXK8RM3,115.96
ID_RCJZ3PORBWFV,127.63
ID_DS40FHVR9R7F,322.35
ID_U407VXC7F9NZ,329.8
ID_W0W8TG7XRWE3,186.64
ID_7RS2XDILJLBL,375.85
ID_IRBHYP3G7UXU,322.46
ID_UH3QT7I1O24Q,161.0
ID_IMKLSNJKVI4P,311.42
ID_MTR7TTJ5LSBE,129.19
ID_UCZXI2H7S2YD,228.97
ID_8ZCGIWU6GZLO,274.14
ID_SNIWSZ237UOD,310.29
ID_UUXFZKSR58SC,295.9
ID_NEGU2TDNC4Y0,91.65
ID_HTEQD0S6QIB8,312.55
ID_EHYBYH7QLOSL,204.8
ID_TL9C9OJ8G68U,226.82
ID_SV7AFMBC72LB,161.83
ID_RJIJXF4OS4RL,4.0
ID_ZWZRMNC7OOCV,243.79
ID_NHUOZPKIO0BR,397.6
ID_H992DU9HM8DQ,323.61
ID_Z17C9TLMF1MJ,186.06
ID_3RUIBILNO5TH,161.31
ID_G49PUGN2HFAD,252.64
ID_7F8MCGYBVNP9,398.7
ID_WWW8P7C0BWWD,322.76
ID_2GDKRWUIWI9Y,151.85
ID_E6BGEQJGO571,249.58
ID_SP088I6KHJYU,375.8
ID_75A7EFD9RIO4,160.94
