,Plant,N,P,K,pH,Rainfall,Temperature
0,cacao,20,10,15,6.0,1000.0,24.0
1,cacao,20,10,15,6.0,1000.0,24.9
2,cacao,20,10,15,6.0,1000.0,25.8
3,cacao,20,10,15,6.0,1000.0,26.7
4,cacao,20,10,15,6.0,1000.0,27.6
5,cacao,20,10,15,6.0,1000.0,28.5
6,cacao,20,10,15,6.0,1000.0,29.4
7,cacao,20,10,15,6.0,1000.0,30.3
8,cacao,20,10,15,6.0,1000.0,31.2
9,cacao,20,10,15,6.0,1000.0,32.1
10,cacao,20,10,15,6.9,1000.0,24.0
11,cacao,20,10,15,6.9,1000.0,24.9
12,cacao,20,10,15,6.9,1000.0,25.8
13,cacao,20,10,15,6.9,1000.0,26.7
14,cacao,20,10,15,6.9,1000.0,27.6
15,cacao,20,10,15,6.9,1000.0,28.5
16,cacao,20,10,15,6.9,1000.0,29.4
17,cacao,20,10,15,6.9,1000.0,30.3
18,cacao,20,10,15,6.9,1000.0,31.2
19,cacao,20,10,15,6.9,1000.0,32.1
20,cacao,20,10,15,6.0,1000.9,24.0
21,cacao,20,10,15,6.0,1000.9,24.9
22,cacao,20,10,15,6.0,1000.9,25.8
23,cacao,20,10,15,6.0,1000.9,26.7
24,cacao,20,10,15,6.0,1000.9,27.6
25,cacao,20,10,15,6.0,1000.9,28.5
26,cacao,20,10,15,6.0,1000.9,29.4
27,cacao,20,10,15,6.0,1000.9,30.3
28,cacao,20,10,15,6.0,1000.9,31.2
29,cacao,20,10,15,6.0,1000.9,32.1
30,cacao,20,10,15,6.9,1000.9,24.0
31,cacao,20,10,15,6.9,1000.9,24.9
32,cacao,20,10,15,6.9,1000.9,25.8
33,cacao,20,10,15,6.9,1000.9,26.7
34,cacao,20,10,15,6.9,1000.9,27.6
35,cacao,20,10,15,6.9,1000.9,28.5
36,cacao,20,10,15,6.9,1000.9,29.4
37,cacao,20,10,15,6.9,1000.9,30.3
38,cacao,20,10,15,6.9,1000.9,31.2
39,cacao,20,10,15,6.9,1000.9,32.1
40,cacao,20,10,15,6.0,1001.8,24.0
41,cacao,20,10,15,6.0,1001.8,24.9
42,cacao,20,10,15,6.0,1001.8,25.8
43,cacao,20,10,15,6.0,1001.8,26.7
44,cacao,20,10,15,6.0,1001.8,27.6
45,cacao,20,10,15,6.0,1001.8,28.5
46,cacao,20,10,15,6.0,1001.8,29.4
47,cacao,20,10,15,6.0,1001.8,30.3
48,cacao,20,10,15,6.0,1001.8,31.2
49,cacao,20,10,15,6.0,1001.8,32.1
50,cacao,20,10,15,6.9,1001.8,24.0
51,cacao,20,10,15,6.9,1001.8,24.9
52,cacao,20,10,15,6.9,1001.8,25.8
53,cacao,20,10,15,6.9,1001.8,26.7
54,cacao,20,10,15,6.9,1001.8,27.6
55,cacao,20,10,15,6.9,1001.8,28.5
56,cacao,20,10,15,6.9,1001.8,29.4
57,cacao,20,10,15,6.9,1001.8,30.3
58,cacao,20,10,15,6.9,1001.8,31.2
59,cacao,20,10,15,6.9,1001.8,32.1
60,cacao,20,10,15,6.0,1002.7,24.0
61,cacao,20,10,15,6.0,1002.7,24.9
62,cacao,20,10,15,6.0,1002.7,25.8
63,cacao,20,10,15,6.0,1002.7,26.7
64,cacao,20,10,15,6.0,1002.7,27.6
65,cacao,20,10,15,6.0,1002.7,28.5
66,cacao,20,10,15,6.0,1002.7,29.4
67,cacao,20,10,15,6.0,1002.7,30.3
68,cacao,20,10,15,6.0,1002.7,31.2
69,cacao,20,10,15,6.0,1002.7,32.1
70,cacao,20,10,15,6.9,1002.7,24.0
71,cacao,20,10,15,6.9,1002.7,24.9
72,cacao,20,10,15,6.9,1002.7,25.8
73,cacao,20,10,15,6.9,1002.7,26.7
74,cacao,20,10,15,6.9,1002.7,27.6
75,cacao,20,10,15,6.9,1002.7,28.5
76,cacao,20,10,15,6.9,1002.7,29.4
77,cacao,20,10,15,6.9,1002.7,30.3
78,cacao,20,10,15,6.9,1002.7,31.2
79,cacao,20,10,15,6.9,1002.7,32.1
80,cacao,20,10,15,6.0,1003.6,24.0
81,cacao,20,10,15,6.0,1003.6,24.9
82,cacao,20,10,15,6.0,1003.6,25.8
83,cacao,20,10,15,6.0,1003.6,26.7
84,cacao,20,10,15,6.0,1003.6,27.6
85,cacao,20,10,15,6.0,1003.6,28.5
86,cacao,20,10,15,6.0,1003.6,29.4
87,cacao,20,10,15,6.0,1003.6,30.3
88,cacao,20,10,15,6.0,1003.6,31.2
89,cacao,20,10,15,6.0,1003.6,32.1
90,cacao,20,10,15,6.9,1003.6,24.0
91,cacao,20,10,15,6.9,1003.6,24.9
92,cacao,20,10,15,6.9,1003.6,25.8
93,cacao,20,10,15,6.9,1003.6,26.7
94,cacao,20,10,15,6.9,1003.6,27.6
95,cacao,20,10,15,6.9,1003.6,28.5
96,cacao,20,10,15,6.9,1003.6,29.4
97,cacao,20,10,15,6.9,1003.6,30.3
98,cacao,20,10,15,6.9,1003.6,31.2
99,cacao,20,10,15,6.9,1003.6,32.1
100,cacao,20,10,15,6.0,1004.5,24.0
101,cacao,20,10,15,6.0,1004.5,24.9
102,cacao,20,10,15,6.0,1004.5,25.8
103,cacao,20,10,15,6.0,1004.5,26.7
104,cacao,20,10,15,6.0,1004.5,27.6
105,cacao,20,10,15,6.0,1004.5,28.5
106,cacao,20,10,15,6.0,1004.5,29.4
107,cacao,20,10,15,6.0,1004.5,30.3
108,cacao,20,10,15,6.0,1004.5,31.2
109,cacao,20,10,15,6.0,1004.5,32.1
110,cacao,20,10,15,6.9,1004.5,24.0
111,cacao,20,10,15,6.9,1004.5,24.9
112,cacao,20,10,15,6.9,1004.5,25.8
113,cacao,20,10,15,6.9,1004.5,26.7
114,cacao,20,10,15,6.9,1004.5,27.6
115,cacao,20,10,15,6.9,1004.5,28.5
116,cacao,20,10,15,6.9,1004.5,29.4
117,cacao,20,10,15,6.9,1004.5,30.3
118,cacao,20,10,15,6.9,1004.5,31.2
119,cacao,20,10,15,6.9,1004.5,32.1
120,cacao,20,10,15,6.0,1005.4,24.0
121,cacao,20,10,15,6.0,1005.4,24.9
122,cacao,20,10,15,6.0,1005.4,25.8
123,cacao,20,10,15,6.0,1005.4,26.7
124,cacao,20,10,15,6.0,1005.4,27.6
125,cacao,20,10,15,6.0,1005.4,28.5
126,cacao,20,10,15,6.0,1005.4,29.4
127,cacao,20,10,15,6.0,1005.4,30.3
128,cacao,20,10,15,6.0,1005.4,31.2
129,cacao,20,10,15,6.0,1005.4,32.1
130,cacao,20,10,15,6.9,1005.4,24.0
131,cacao,20,10,15,6.9,1005.4,24.9
132,cacao,20,10,15,6.9,1005.4,25.8
133,cacao,20,10,15,6.9,1005.4,26.7
134,cacao,20,10,15,6.9,1005.4,27.6
135,cacao,20,10,15,6.9,1005.4,28.5
136,cacao,20,10,15,6.9,1005.4,29.4
137,cacao,20,10,15,6.9,1005.4,30.3
138,cacao,20,10,15,6.9,1005.4,31.2
139,cacao,20,10,15,6.9,1005.4,32.1
140,cacao,20,10,15,6.0,1006.3,24.0
141,cacao,20,10,15,6.0,1006.3,24.9
142,cacao,20,10,15,6.0,1006.3,25.8
143,cacao,20,10,15,6.0,1006.3,26.7
144,cacao,20,10,15,6.0,1006.3,27.6
145,cacao,20,10,15,6.0,1006.3,28.5
146,cacao,20,10,15,6.0,1006.3,29.4
147,cacao,20,10,15,6.0,1006.3,30.3
148,cacao,20,10,15,6.0,1006.3,31.2
149,cacao,20,10,15,6.0,1006.3,32.1
150,cacao,20,10,15,6.9,1006.3,24.0
151,cacao,20,10,15,6.9,1006.3,24.9
152,cacao,20,10,15,6.9,1006.3,25.8
153,cacao,20,10,15,6.9,1006.3,26.7
154,cacao,20,10,15,6.9,1006.3,27.6
155,cacao,20,10,15,6.9,1006.3,28.5
156,cacao,20,10,15,6.9,1006.3,29.4
157,cacao,20,10,15,6.9,1006.3,30.3
158,cacao,20,10,15,6.9,1006.3,31.2
159,cacao,20,10,15,6.9,1006.3,32.1
160,cacao,20,10,15,6.0,1007.2,24.0
161,cacao,20,10,15,6.0,1007.2,24.9
162,cacao,20,10,15,6.0,1007.2,25.8
163,cacao,20,10,15,6.0,1007.2,26.7
164,cacao,20,10,15,6.0,1007.2,27.6
165,cacao,20,10,15,6.0,1007.2,28.5
166,cacao,20,10,15,6.0,1007.2,29.4
167,cacao,20,10,15,6.0,1007.2,30.3
168,cacao,20,10,15,6.0,1007.2,31.2
169,cacao,20,10,15,6.0,1007.2,32.1
170,cacao,20,10,15,6.9,1007.2,24.0
171,cacao,20,10,15,6.9,1007.2,24.9
172,cacao,20,10,15,6.9,1007.2,25.8
