,Plant,N,P,K,pH,Rainfall,Temperature
0,cassava,60,30,60,5.0,500.0,23.0
1,cassava,60,30,60,5.0,500.0,23.9
2,cassava,60,30,60,5.0,500.0,24.8
3,cassava,60,30,60,5.0,500.0,25.7
4,cassava,60,30,60,5.0,500.0,26.6
5,cassava,60,30,60,5.0,500.0,27.5
6,cassava,60,30,60,5.0,500.0,28.4
7,cassava,60,30,60,5.0,500.0,29.3
8,cassava,60,30,60,5.0,500.0,30.2
9,cassava,60,30,60,5.0,500.0,31.1
10,cassava,60,30,60,5.0,500.0,32.0
11,cassava,60,30,60,5.0,500.0,32.9
12,cassava,60,30,60,5.0,500.0,33.8
13,cassava,60,30,60,5.0,500.0,34.7
14,cassava,60,30,60,5.0,500.0,35.6
15,cassava,60,30,60,5.0,500.0,36.5
16,cassava,60,30,60,5.9,500.0,23.0
17,cassava,60,30,60,5.9,500.0,23.9
18,cassava,60,30,60,5.9,500.0,24.8
19,cassava,60,30,60,5.9,500.0,25.7
20,cassava,60,30,60,5.9,500.0,26.6
21,cassava,60,30,60,5.9,500.0,27.5
22,cassava,60,30,60,5.9,500.0,28.4
23,cassava,60,30,60,5.9,500.0,29.3
24,cassava,60,30,60,5.9,500.0,30.2
25,cassava,60,30,60,5.9,500.0,31.1
26,cassava,60,30,60,5.9,500.0,32.0
27,cassava,60,30,60,5.9,500.0,32.9
28,cassava,60,30,60,5.9,500.0,33.8
29,cassava,60,30,60,5.9,500.0,34.7
30,cassava,60,30,60,5.9,500.0,35.6
31,cassava,60,30,60,5.9,500.0,36.5
32,cassava,60,30,60,6.8,500.0,23.0
33,cassava,60,30,60,6.8,500.0,23.9
34,cassava,60,30,60,6.8,500.0,24.8
35,cassava,60,30,60,6.8,500.0,25.7
36,cassava,60,30,60,6.8,500.0,26.6
37,cassava,60,30,60,6.8,500.0,27.5
38,cassava,60,30,60,6.8,500.0,28.4
39,cassava,60,30,60,6.8,500.0,29.3
40,cassava,60,30,60,6.8,500.0,30.2
41,cassava,60,30,60,6.8,500.0,31.1
42,cassava,60,30,60,6.8,500.0,32.0
43,cassava,60,30,60,6.8,500.0,32.9
44,cassava,60,30,60,6.8,500.0,33.8
45,cassava,60,30,60,6.8,500.0,34.7
46,cassava,60,30,60,6.8,500.0,35.6
47,cassava,60,30,60,6.8,500.0,36.5
48,cassava,60,30,60,5.0,500.9,23.0
49,cassava,60,30,60,5.0,500.9,23.9
50,cassava,60,30,60,5.0,500.9,24.8
51,cassava,60,30,60,5.0,500.9,25.7
52,cassava,60,30,60,5.0,500.9,26.6
53,cassava,60,30,60,5.0,500.9,27.5
54,cassava,60,30,60,5.0,500.9,28.4
55,cassava,60,30,60,5.0,500.9,29.3
56,cassava,60,30,60,5.0,500.9,30.2
57,cassava,60,30,60,5.0,500.9,31.1
58,cassava,60,30,60,5.0,500.9,32.0
59,cassava,60,30,60,5.0,500.9,32.9
60,cassava,60,30,60,5.0,500.9,33.8
61,cassava,60,30,60,5.0,500.9,34.7
62,cassava,60,30,60,5.0,500.9,35.6
63,cassava,60,30,60,5.0,500.9,36.5
64,cassava,60,30,60,5.9,500.9,23.0
65,cassava,60,30,60,5.9,500.9,23.9
66,cassava,60,30,60,5.9,500.9,24.8
67,cassava,60,30,60,5.9,500.9,25.7
68,cassava,60,30,60,5.9,500.9,26.6
69,cassava,60,30,60,5.9,500.9,27.5
70,cassava,60,30,60,5.9,500.9,28.4
71,cassava,60,30,60,5.9,500.9,29.3
72,cassava,60,30,60,5.9,500.9,30.2
73,cassava,60,30,60,5.9,500.9,31.1
74,cassava,60,30,60,5.9,500.9,32.0
75,cassava,60,30,60,5.9,500.9,32.9
76,cassava,60,30,60,5.9,500.9,33.8
77,cassava,60,30,60,5.9,500.9,34.7
78,cassava,60,30,60,5.9,500.9,35.6
79,cassava,60,30,60,5.9,500.9,36.5
80,cassava,60,30,60,6.8,500.9,23.0
81,cassava,60,30,60,6.8,500.9,23.9
82,cassava,60,30,60,6.8,500.9,24.8
83,cassava,60,30,60,6.8,500.9,25.7
84,cassava,60,30,60,6.8,500.9,26.6
85,cassava,60,30,60,6.8,500.9,27.5
86,cassava,60,30,60,6.8,500.9,28.4
87,cassava,60,30,60,6.8,500.9,29.3
88,cassava,60,30,60,6.8,500.9,30.2
89,cassava,60,30,60,6.8,500.9,31.1
90,cassava,60,30,60,6.8,500.9,32.0
91,cassava,60,30,60,6.8,500.9,32.9
92,cassava,60,30,60,6.8,500.9,33.8
93,cassava,60,30,60,6.8,500.9,34.7
94,cassava,60,30,60,6.8,500.9,35.6
95,cassava,60,30,60,6.8,500.9,36.5
96,cassava,60,30,60,5.0,501.8,23.0
97,cassava,60,30,60,5.0,501.8,23.9
98,cassava,60,30,60,5.0,501.8,24.8
99,cassava,60,30,60,5.0,501.8,25.7
100,cassava,60,30,60,5.0,501.8,26.6
101,cassava,60,30,60,5.0,501.8,27.5
102,cassava,60,30,60,5.0,501.8,28.4
103,cassava,60,30,60,5.0,501.8,29.3
104,cassava,60,30,60,5.0,501.8,30.2
105,cassava,60,30,60,5.0,501.8,31.1
106,cassava,60,30,60,5.0,501.8,32.0
107,cassava,60,30,60,5.0,501.8,32.9
108,cassava,60,30,60,5.0,501.8,33.8
109,cassava,60,30,60,5.0,501.8,34.7
110,cassava,60,30,60,5.0,501.8,35.6
111,cassava,60,30,60,5.0,501.8,36.5
112,cassava,60,30,60,5.9,501.8,23.0
113,cassava,60,30,60,5.9,501.8,23.9
114,cassava,60,30,60,5.9,501.8,24.8
115,cassava,60,30,60,5.9,501.8,25.7
116,cassava,60,30,60,5.9,501.8,26.6
117,cassava,60,30,60,5.9,501.8,27.5
118,cassava,60,30,60,5.9,501.8,28.4
119,cassava,60,30,60,5.9,501.8,29.3
120,cassava,60,30,60,5.9,501.8,30.2
121,cassava,60,30,60,5.9,501.8,31.1
122,cassava,60,30,60,5.9,501.8,32.0
123,cassava,60,30,60,5.9,501.8,32.9
124,cassava,60,30,60,5.9,501.8,33.8
125,cassava,60,30,60,5.9,501.8,34.7
126,cassava,60,30,60,5.9,501.8,35.6
127,cassava,60,30,60,5.9,501.8,36.5
128,cassava,60,30,60,6.8,501.8,23.0
129,cassava,60,30,60,6.8,501.8,23.9
130,cassava,60,30,60,6.8,501.8,24.8
131,cassava,60,30,60,6.8,501.8,25.7
132,cassava,60,30,60,6.8,501.8,26.6
133,cassava,60,30,60,6.8,501.8,27.5
134,cassava,60,30,60,6.8,501.8,28.4
135,cassava,60,30,60,6.8,501.8,29.3
136,cassava,60,30,60,6.8,501.8,30.2
137,cassava,60,30,60,6.8,501.8,31.1
138,cassava,60,30,60,6.8,501.8,32.0
139,cassava,60,30,60,6.8,501.8,32.9
140,cassava,60,30,60,6.8,501.8,33.8
141,cassava,60,30,60,6.8,501.8,34.7
142,cassava,60,30,60,6.8,501.8,35.6
143,cassava,60,30,60,6.8,501.8,36.5
144,cassava,60,30,60,5.0,502.7,23.0
145,cassava,60,30,60,5.0,502.7,23.9
146,cassava,60,30,60,5.0,502.7,24.8
147,cassava,60,30,60,5.0,502.7,25.7
148,cassava,60,30,60,5.0,502.7,26.6
149,cassava,60,30,60,5.0,502.7,27.5
150,cassava,60,30,60,5.0,502.7,28.4
151,cassava,60,30,60,5.0,502.7,29.3
152,cassava,60,30,60,5.0,502.7,30.2
153,cassava,60,30,60,5.0,502.7,31.1
154,cassava,60,30,60,5.0,502.7,32.0
155,cassava,60,30,60,5.0,502.7,32.9
156,cassava,60,30,60,5.0,502.7,33.8
157,cassava,60,30,60,5.0,502.7,34.7
158,cassava,60,30,60,5.0,502.7,35.6
159,cassava,60,30,60,5.0,502.7,36.5
160,cassava,60,30,60,5.9,502.7,23.0
161,cassava,60,30,60,5.9,502.7,23.9
162,cassava,60,30,60,5.9,502.7,24.8
163,cassava,60,30,60,5.9,502.7,25.7
164,cassava,60,30,60,5.9,502.7,26.6
165,cassava,60,30,60,5.9,502.7,27.5
166,cassava,60,30,60,5.9,502.7,28.4
167,cassava,60,30,60,5.9,502.7,29.3
168,cassava,60,30,60,5.9,502.7,30.2
169,cassava,60,30,60,5.9,502.7,31.1
170,cassava,60,30,60,5.9,502.7,32.0
171,cassava,60,30,60,5.9,502.7,32.9
172,cassava,60,30,60,5.9,502.7,33.8
173,cassava,60,30,60,5.9,502.7,34.7
174,cassava,60,30,60,5.9,502.7,35.6
175,cassava,60,30,60,5.9,502.7,36.5
176,cassava,60,30,60,6.8,502.7,23.0
177,cassava,60,30,60,6.8,502.7,23.9
178,cassava,60,30,60,6.8,502.7,24.8
179,cassava,60,30,60,6.8,502.7,25.7
180,cassava,60,30,60,6.8,502.7,26.6
181,cassava,60,30,60,6.8,502.7,27.5
182,cassava,60,30,60,6.8,502.7,28.4
183,cassava,60,30,60,6.8,502.7,29.3
184,cassava,60,30,60,6.8,502.7,30.2
185,cassava,60,30,60,6.8,502.7,31.1
186,cassava,60,30,60,6.8,502.7,32.0
187,cassava,60,30,60,6.8,502.7,32.9
188,cassava,60,30,60,6.8,502.7,33.8
189,cassava,60,30,60,6.8,502.7,34.7
190,cassava,60,30,60,6.8,502.7,35.6
191,cassava,60,30,60,6.8,502.7,36.5
192,cassava,60,30,60,5.0,503.6,23.0
193,cassava,60,30,60,5.0,503.6,23.9
194,cassava,60,30,60,5.0,503.6,24.8
195,cassava,60,30,60,5.0,503.6,25.7
196,cassava,60,30,60,5.0,503.6,26.6
197,cassava,60,30,60,5.0,503.6,27.5
198,cassava,60,30,60,5.0,503.6,28.4
199,cassava,60,30,60,5.0,503.6,29.3
200,cassava,60,30,60,5.0,503.6,30.2
201,cassava,60,30,60,5.0,503.6,31.1
202,cassava,60,30,60,5.0,503.6,32.0
203,cassava,60,30,60,5.0,503.6,32.9
204,cassava,60,30,60,5.0,503.6,33.8
205,cassava,60,30,60,5.0,503.6,34.7
206,cassava,60,30,60,5.0,503.6,35.6
207,cassava,60,30,60,5.0,503.6,36.5
208,cassava,60,30,60,5.9,503.6,23.0
209,cassava,60,30,60,5.9,503.6,23.9
210,cassava,60,30,60,5.9,503.6,24.8
211,cassava,60,30,60,5.9,503.6,25.7
212,cassava,60,30,60,5.9,503.6,26.6
213,cassava,60,30,60,5.9,503.6,27.5
214,cassava,60,30,60,5.9,503.6,28.4
215,cassava,60,30,60,5.9,503.6,29.3
216,cassava,60,30,60,5.9,503.6,30.2
217,cassava,60,30,60,5.9,503.6,31.1
218,cassava,60,30,60,5.9,503.6,32.0
219,cassava,60,30,60,5.9,503.6,32.9
220,cassava,60,30,60,5.9,503.6,33.8
221,cassava,60,30,60,5.9,503.6,34.7
222,cassava,60,30,60,5.9,503.6,35.6
223,cassava,60,30,60,5.9,503.6,36.5
224,cassava,60,30,60,6.8,503.6,23.0
225,cassava,60,30,60,6.8,503.6,23.9
226,cassava,60,30,60,6.8,503.6,24.8
227,cassava,60,30,60,6.8,503.6,25.7
228,cassava,60,30,60,6.8,503.6,26.6
229,cassava,60,30,60,6.8,503.6,27.5
230,cassava,60,30,60,6.8,503.6,28.4
231,cassava,60,30,60,6.8,503.6,29.3
232,cassava,60,30,60,6.8,503.6,30.2
233,cassava,60,30,60,6.8,503.6,31.1
234,cassava,60,30,60,6.8,503.6,32.0
235,cassava,60,30,60,6.8,503.6,32.9
236,cassava,60,30,60,6.8,503.6,33.8
237,cassava,60,30,60,6.8,503.6,34.7
238,cassava,60,30,60,6.8,503.6,35.6
239,cassava,60,30,60,6.8,503.6,36.5
240,cassava,60,30,60,5.0,504.5,23.0
241,cassava,60,30,60,5.0,504.5,23.9
242,cassava,60,30,60,5.0,504.5,24.8
243,cassava,60,30,60,5.0,504.5,25.7
244,cassava,60,30,60,5.0,504.5,26.6
245,cassava,60,30,60,5.0,504.5,27.5
246,cassava,60,30,60,5.0,504.5,28.4
247,cassava,60,30,60,5.0,504.5,29.3
248,cassava,60,30,60,5.0,504.5,30.2
249,cassava,60,30,60,5.0,504.5,31.1
250,cassava,60,30,60,5.0,504.5,32.0
251,cassava,60,30,60,5.0,504.5,32.9
252,cassava,60,30,60,5.0,504.5,33.8
253,cassava,60,30,60,5.0,504.5,34.7
254,cassava,60,30,60,5.0,504.5,35.6
255,cassava,60,30,60,5.0,504.5,36.5
256,cassava,60,30,60,5.9,504.5,23.0
257,cassava,60,30,60,5.9,504.5,23.9
258,cassava,60,30,60,5.9,504.5,24.8
259,cassava,60,30,60,5.9,504.5,25.7
260,cassava,60,30,60,5.9,504.5,26.6
261,cassava,60,30,60,5.9,504.5,27.5
262,cassava,60,30,60,5.9,504.5,28.4
263,cassava,60,30,60,5.9,504.5,29.3
264,cassava,60,30,60,5.9,504.5,30.2
265,cassava,60,30,60,5.9,504.5,31.1
266,cassava,60,30,60,5.9,504.5,32.0
267,cassava,60,30,60,5.9,504.5,32.9
268,cassava,60,30,60,5.9,504.5,33.8
269,cassava,60,30,60,5.9,504.5,34.7
270,cassava,60,30,60,5.9,504.5,35.6
271,cassava,60,30,60,5.9,504.5,36.5
272,cassava,60,30,60,6.8,504.5,23.0
273,cassava,60,30,60,6.8,504.5,23.9
274,cassava,60,30,60,6.8,504.5,24.8
275,cassava,60,30,60,6.8,504.5,25.7
276,cassava,60,30,60,6.8,504.5,26.6
277,cassava,60,30,60,6.8,504.5,27.5
278,cassava,60,30,60,6.8,504.5,28.4
279,cassava,60,30,60,6.8,504.5,29.3
280,cassava,60,30,60,6.8,504.5,30.2
281,cassava,60,30,60,6.8,504.5,31.1
282,cassava,60,30,60,6.8,504.5,32.0
283,cassava,60,30,60,6.8,504.5,32.9
284,cassava,60,30,60,6.8,504.5,33.8
285,cassava,60,30,60,6.8,504.5,34.7
286,cassava,60,30,60,6.8,504.5,35.6
287,cassava,60,30,60,6.8,504.5,36.5
288,cassava,60,30,60,5.0,505.4,23.0
289,cassava,60,30,60,5.0,505.4,23.9
290,cassava,60,30,60,5.0,505.4,24.8
291,cassava,60,30,60,5.0,505.4,25.7
292,cassava,60,30,60,5.0,505.4,26.6
293,cassava,60,30,60,5.0,505.4,27.5
294,cassava,60,30,60,5.0,505.4,28.4
295,cassava,60,30,60,5.0,505.4,29.3
296,cassava,60,30,60,5.0,505.4,30.2
297,cassava,60,30,60,5.0,505.4,31.1
298,cassava,60,30,60,5.0,505.4,32.0
299,cassava,60,30,60,5.0,505.4,32.9
300,cassava,60,30,60,5.0,505.4,33.8
301,cassava,60,30,60,5.0,505.4,34.7
302,cassava,60,30,60,5.0,505.4,35.6
303,cassava,60,30,60,5.0,505.4,36.5
304,cassava,60,30,60,5.9,505.4,23.0
305,cassava,60,30,60,5.9,505.4,23.9
306,cassava,60,30,60,5.9,505.4,24.8
307,cassava,60,30,60,5.9,505.4,25.7
308,cassava,60,30,60,5.9,505.4,26.6
309,cassava,60,30,60,5.9,505.4,27.5
310,cassava,60,30,60,5.9,505.4,28.4
311,cassava,60,30,60,5.9,505.4,29.3
312,cassava,60,30,60,5.9,505.4,30.2
313,cassava,60,30,60,5.9,505.4,31.1
314,cassava,60,30,60,5.9,505.4,32.0
315,cassava,60,30,60,5.9,505.4,32.9
316,cassava,60,30,60,5.9,505.4,33.8
317,cassava,60,30,60,5.9,505.4,34.7
318,cassava,60,30,60,5.9,505.4,35.6
319,cassava,60,30,60,5.9,505.4,36.5
320,cassava,60,30,60,6.8,505.4,23.0
321,cassava,60,30,60,6.8,505.4,23.9
322,cassava,60,30,60,6.8,505.4,24.8
323,cassava,60,30,60,6.8,505.4,25.7
324,cassava,60,30,60,6.8,505.4,26.6
325,cassava,60,30,60,6.8,505.4,27.5
326,cassava,60,30,60,6.8,505.4,28.4
327,cassava,60,30,60,6.8,505.4,29.3
328,cassava,60,30,60,6.8,505.4,30.2
329,cassava,60,30,60,6.8,505.4,31.1
330,cassava,60,30,60,6.8,505.4,32.0
331,cassava,60,30,60,6.8,505.4,32.9
332,cassava,60,30,60,6.8,505.4,33.8
333,cassava,60,30,60,6.8,505.4,34.7
334,cassava,60,30,60,6.8,505.4,35.6
335,cassava,60,30,60,6.8,505.4,36.5
336,cassava,60,30,60,5.0,506.3,23.0
337,cassava,60,30,60,5.0,506.3,23.9
338,cassava,60,30,60,5.0,506.3,24.8
339,cassava,60,30,60,5.0,506.3,25.7
340,cassava,60,30,60,5.0,506.3,26.6
341,cassava,60,30,60,5.0,506.3,27.5
342,cassava,60,30,60,5.0,506.3,28.4
343,cassava,60,30,60,5.0,506.3,29.3
344,cassava,60,30,60,5.0,506.3,30.2
345,cassava,60,30,60,5.0,506.3,31.1
346,cassava,60,30,60,5.0,506.3,32.0
347,cassava,60,30,60,5.0,506.3,32.9
348,cassava,60,30,60,5.0,506.3,33.8
349,cassava,60,30,60,5.0,506.3,34.7
350,cassava,60,30,60,5.0,506.3,35.6
351,cassava,60,30,60,5.0,506.3,36.5
352,cassava,60,30,60,5.9,506.3,23.0
353,cassava,60,30,60,5.9,506.3,23.9
354,cassava,60,30,60,5.9,506.3,24.8
355,cassava,60,30,60,5.9,506.3,25.7
356,cassava,60,30,60,5.9,506.3,26.6
357,cassava,60,30,60,5.9,506.3,27.5
358,cassava,60,30,60,5.9,506.3,28.4
359,cassava,60,30,60,5.9,506.3,29.3
360,cassava,60,30,60,5.9,506.3,30.2
361,cassava,60,30,60,5.9,506.3,31.1
362,cassava,60,30,60,5.9,506.3,32.0
363,cassava,60,30,60,5.9,506.3,32.9
364,cassava,60,30,60,5.9,506.3,33.8
365,cassava,60,30,60,5.9,506.3,34.7
366,cassava,60,30,60,5.9,506.3,35.6
367,cassava,60,30,60,5.9,506.3,36.5
368,cassava,60,30,60,6.8,506.3,23.0
369,cassava,60,30,60,6.8,506.3,23.9
370,cassava,60,30,60,6.8,506.3,24.8
371,cassava,60,30,60,6.8,506.3,25.7
372,cassava,60,30,60,6.8,506.3,26.6
373,cassava,60,30,60,6.8,506.3,27.5
374,cassava,60,30,60,6.8,506.3,28.4
375,cassava,60,30,60,6.8,506.3,29.3
376,cassava,60,30,60,6.8,506.3,30.2
377,cassava,60,30,60,6.8,506.3,31.1
378,cassava,60,30,60,6.8,506.3,32.0
379,cassava,60,30,60,6.8,506.3,32.9
380,cassava,60,30,60,6.8,506.3,33.8
381,cassava,60,30,60,6.8,506.3,34.7
382,cassava,60,30,60,6.8,506.3,35.6
383,cassava,60,30,60,6.8,506.3,36.5
384,cassava,60,30,60,5.0,507.2,23.0
385,cassava,60,30,60,5.0,507.2,23.9
386,cassava,60,30,60,5.0,507.2,24.8
387,cassava,60,30,60,5.0,507.2,25.7
388,cassava,60,30,60,5.0,507.2,26.6
389,cassava,60,30,60,5.0,507.2,27.5
390,cassava,60,30,60,5.0,507.2,28.4
391,cassava,60,30,60,5.0,507.2,29.3
392,cassava,60,30,60,5.0,507.2,30.2
393,cassava,60,30,60,5.0,507.2,31.1
394,cassava,60,30,60,5.0,507.2,32.0
395,cassava,60,30,60,5.0,507.2,32.9
396,cassava,60,30,60,5.0,507.2,33.8
397,cassava,60,30,60,5.0,507.2,34.7
398,cassava,60,30,60,5.0,507.2,35.6
399,cassava,60,30,60,5.0,507.2,36.5
400,cassava,60,30,60,5.9,507.2,23.0
401,cassava,60,30,60,5.9,507.2,23.9
402,cassava,60,30,60,5.9,507.2,24.8
403,cassava,60,30,60,5.9,507.2,25.7
404,cassava,60,30,60,5.9,507.2,26.6
405,cassava,60,30,60,5.9,507.2,27.5
406,cassava,60,30,60,5.9,507.2,28.4
407,cassava,60,30,60,5.9,507.2,29.3
408,cassava,60,30,60,5.9,507.2,30.2
409,cassava,60,30,60,5.9,507.2,31.1
410,cassava,60,30,60,5.9,507.2,32.0
411,cassava,60,30,60,5.9,507.2,32.9
412,cassava,60,30,60,5.9,507.2,33.8
413,cassava,60,30,60,5.9,507.2,34.7
414,cassava,60,30,60,5.9,507.2,35.6
415,cassava,60,30,60,5.9,507.2,36.5
416,cassava,60,30,60,6.8,507.2,23.0
417,cassava,60,30,60,6.8,507.2,23.9
418,cassava,60,30,60,6.8,507.2,24.8
419,cassava,60,30,60,6.8,507.2,25.7
420,cassava,60,30,60,6.8,507.2,26.6
421,cassava,60,30,60,6.8,507.2,27.5
422,cassava,60,30,60,6.8,507.2,28.4
423,cassava,60,30,60,6.8,507.2,29.3
424,cassava,60,30,60,6.8,507.2,30.2
425,cassava,60,30,60,6.8,507.2,31.1
426,cassava,60,30,60,6.8,507.2,32.0
427,cassava,60,30,60,6.8,507.2,32.9
428,cassava,60,30,60,6.8,507.2,33.8
429,cassava,60,30,60,6.8,507.2,34.7
430,cassava,60,30,60,6.8,507.2,35.6
431,cassava,60,30,60,6.8,507.2,36.5
