,Plant,N,P,K,pH,Rainfall,Temperature
0,fruit tree,12,12,24,7.0,1200.0,25.0
1,fruit tree,12,12,24,7.0,1200.0,25.9
2,fruit tree,12,12,24,7.0,1200.0,26.8
3,fruit tree,12,12,24,7.0,1200.0,27.7
4,fruit tree,12,12,24,7.0,1200.0,28.6
5,fruit tree,12,12,24,7.0,1200.0,29.5
6,fruit tree,12,12,24,7.0,1200.0,30.4
7,fruit tree,12,12,24,7.0,1200.0,31.3
8,fruit tree,12,12,24,7.0,1200.0,32.2
9,fruit tree,12,12,24,7.0,1200.0,33.1
10,fruit tree,12,12,24,7.0,1200.0,34.0
11,fruit tree,12,12,24,7.0,1200.0,34.9
12,fruit tree,12,12,24,7.0,1200.0,35.8
13,fruit tree,12,12,24,7.0,1200.0,36.7
14,fruit tree,12,12,24,7.9,1200.0,25.0
15,fruit tree,12,12,24,7.9,1200.0,25.9
16,fruit tree,12,12,24,7.9,1200.0,26.8
17,fruit tree,12,12,24,7.9,1200.0,27.7
18,fruit tree,12,12,24,7.9,1200.0,28.6
19,fruit tree,12,12,24,7.9,1200.0,29.5
20,fruit tree,12,12,24,7.9,1200.0,30.4
21,fruit tree,12,12,24,7.9,1200.0,31.3
22,fruit tree,12,12,24,7.9,1200.0,32.2
23,fruit tree,12,12,24,7.9,1200.0,33.1
24,fruit tree,12,12,24,7.9,1200.0,34.0
25,fruit tree,12,12,24,7.9,1200.0,34.9
26,fruit tree,12,12,24,7.9,1200.0,35.8
27,fruit tree,12,12,24,7.9,1200.0,36.7
28,fruit tree,12,12,24,7.0,1200.9,25.0
29,fruit tree,12,12,24,7.0,1200.9,25.9
30,fruit tree,12,12,24,7.0,1200.9,26.8
31,fruit tree,12,12,24,7.0,1200.9,27.7
32,fruit tree,12,12,24,7.0,1200.9,28.6
33,fruit tree,12,12,24,7.0,1200.9,29.5
34,fruit tree,12,12,24,7.0,1200.9,30.4
35,fruit tree,12,12,24,7.0,1200.9,31.3
36,fruit tree,12,12,24,7.0,1200.9,32.2
37,fruit tree,12,12,24,7.0,1200.9,33.1
38,fruit tree,12,12,24,7.0,1200.9,34.0
39,fruit tree,12,12,24,7.0,1200.9,34.9
40,fruit tree,12,12,24,7.0,1200.9,35.8
41,fruit tree,12,12,24,7.0,1200.9,36.7
42,fruit tree,12,12,24,7.9,1200.9,25.0
43,fruit tree,12,12,24,7.9,1200.9,25.9
44,fruit tree,12,12,24,7.9,1200.9,26.8
45,fruit tree,12,12,24,7.9,1200.9,27.7
46,fruit tree,12,12,24,7.9,1200.9,28.6
47,fruit tree,12,12,24,7.9,1200.9,29.5
48,fruit tree,12,12,24,7.9,1200.9,30.4
49,fruit tree,12,12,24,7.9,1200.9,31.3
50,fruit tree,12,12,24,7.9,1200.9,32.2
51,fruit tree,12,12,24,7.9,1200.9,33.1
52,fruit tree,12,12,24,7.9,1200.9,34.0
53,fruit tree,12,12,24,7.9,1200.9,34.9
