,Plant,N,P,K,pH,Rainfall,Temperature
0,laituce,150,50,150,6.0,700.0,10.0
1,laituce,150,50,150,6.0,700.0,10.9
2,laituce,150,50,150,6.0,700.0,11.8
3,laituce,150,50,150,6.0,700.0,12.7
4,laituce,150,50,150,6.0,700.0,13.6
5,laituce,150,50,150,6.0,700.0,14.5
6,laituce,150,50,150,6.0,700.0,15.4
7,laituce,150,50,150,6.0,700.0,16.3
8,laituce,150,50,150,6.0,700.0,17.2
9,laituce,150,50,150,6.0,700.0,18.1
10,laituce,150,50,150,6.0,700.0,19.0
11,laituce,150,50,150,6.0,700.0,19.9
12,laituce,150,50,150,6.0,700.0,20.8
13,laituce,150,50,150,6.0,700.0,21.7
14,laituce,150,50,150,6.0,700.0,22.6
15,laituce,150,50,150,6.0,700.0,23.5
16,laituce,150,50,150,6.0,700.0,24.4
17,laituce,150,50,150,6.0,700.0,25.3
18,laituce,150,50,150,6.0,700.0,26.2
19,laituce,150,50,150,6.0,700.0,27.1
20,laituce,150,50,150,6.0,700.0,28.0
21,laituce,150,50,150,6.0,700.0,28.9
22,laituce,150,50,150,6.0,700.0,29.8
23,laituce,150,50,150,6.0,700.0,30.7
24,laituce,150,50,150,6.0,700.0,31.6
25,laituce,150,50,150,6.9,700.0,10.0
26,laituce,150,50,150,6.9,700.0,10.9
27,laituce,150,50,150,6.9,700.0,11.8
28,laituce,150,50,150,6.9,700.0,12.7
29,laituce,150,50,150,6.9,700.0,13.6
30,laituce,150,50,150,6.9,700.0,14.5
31,laituce,150,50,150,6.9,700.0,15.4
32,laituce,150,50,150,6.9,700.0,16.3
33,laituce,150,50,150,6.9,700.0,17.2
34,laituce,150,50,150,6.9,700.0,18.1
35,laituce,150,50,150,6.9,700.0,19.0
36,laituce,150,50,150,6.9,700.0,19.9
37,laituce,150,50,150,6.9,700.0,20.8
38,laituce,150,50,150,6.9,700.0,21.7
39,laituce,150,50,150,6.9,700.0,22.6
40,laituce,150,50,150,6.9,700.0,23.5
41,laituce,150,50,150,6.9,700.0,24.4
42,laituce,150,50,150,6.9,700.0,25.3
43,laituce,150,50,150,6.9,700.0,26.2
44,laituce,150,50,150,6.9,700.0,27.1
45,laituce,150,50,150,6.9,700.0,28.0
46,laituce,150,50,150,6.9,700.0,28.9
47,laituce,150,50,150,6.9,700.0,29.8
48,laituce,150,50,150,6.9,700.0,30.7
49,laituce,150,50,150,6.9,700.0,31.6
50,laituce,150,50,150,7.8,700.0,10.0
51,laituce,150,50,150,7.8,700.0,10.9
52,laituce,150,50,150,7.8,700.0,11.8
53,laituce,150,50,150,7.8,700.0,12.7
54,laituce,150,50,150,7.8,700.0,13.6
55,laituce,150,50,150,7.8,700.0,14.5
56,laituce,150,50,150,7.8,700.0,15.4
57,laituce,150,50,150,7.8,700.0,16.3
58,laituce,150,50,150,7.8,700.0,17.2
59,laituce,150,50,150,7.8,700.0,18.1
60,laituce,150,50,150,7.8,700.0,19.0
61,laituce,150,50,150,7.8,700.0,19.9
62,laituce,150,50,150,7.8,700.0,20.8
63,laituce,150,50,150,7.8,700.0,21.7
64,laituce,150,50,150,7.8,700.0,22.6
65,laituce,150,50,150,7.8,700.0,23.5
66,laituce,150,50,150,7.8,700.0,24.4
67,laituce,150,50,150,7.8,700.0,25.3
68,laituce,150,50,150,7.8,700.0,26.2
69,laituce,150,50,150,7.8,700.0,27.1
70,laituce,150,50,150,7.8,700.0,28.0
71,laituce,150,50,150,7.8,700.0,28.9
72,laituce,150,50,150,7.8,700.0,29.8
73,laituce,150,50,150,7.8,700.0,30.7
74,laituce,150,50,150,7.8,700.0,31.6
75,laituce,150,50,150,6.0,700.9,10.0
76,laituce,150,50,150,6.0,700.9,10.9
77,laituce,150,50,150,6.0,700.9,11.8
78,laituce,150,50,150,6.0,700.9,12.7
79,laituce,150,50,150,6.0,700.9,13.6
80,laituce,150,50,150,6.0,700.9,14.5
81,laituce,150,50,150,6.0,700.9,15.4
82,laituce,150,50,150,6.0,700.9,16.3
83,laituce,150,50,150,6.0,700.9,17.2
84,laituce,150,50,150,6.0,700.9,18.1
85,laituce,150,50,150,6.0,700.9,19.0
86,laituce,150,50,150,6.0,700.9,19.9
87,laituce,150,50,150,6.0,700.9,20.8
88,laituce,150,50,150,6.0,700.9,21.7
89,laituce,150,50,150,6.0,700.9,22.6
90,laituce,150,50,150,6.0,700.9,23.5
91,laituce,150,50,150,6.0,700.9,24.4
92,laituce,150,50,150,6.0,700.9,25.3
93,laituce,150,50,150,6.0,700.9,26.2
94,laituce,150,50,150,6.0,700.9,27.1
95,laituce,150,50,150,6.0,700.9,28.0
96,laituce,150,50,150,6.0,700.9,28.9
97,laituce,150,50,150,6.0,700.9,29.8
98,laituce,150,50,150,6.0,700.9,30.7
99,laituce,150,50,150,6.0,700.9,31.6
100,laituce,150,50,150,6.9,700.9,10.0
101,laituce,150,50,150,6.9,700.9,10.9
102,laituce,150,50,150,6.9,700.9,11.8
103,laituce,150,50,150,6.9,700.9,12.7
104,laituce,150,50,150,6.9,700.9,13.6
105,laituce,150,50,150,6.9,700.9,14.5
106,laituce,150,50,150,6.9,700.9,15.4
107,laituce,150,50,150,6.9,700.9,16.3
108,laituce,150,50,150,6.9,700.9,17.2
109,laituce,150,50,150,6.9,700.9,18.1
110,laituce,150,50,150,6.9,700.9,19.0
111,laituce,150,50,150,6.9,700.9,19.9
112,laituce,150,50,150,6.9,700.9,20.8
113,laituce,150,50,150,6.9,700.9,21.7
114,laituce,150,50,150,6.9,700.9,22.6
115,laituce,150,50,150,6.9,700.9,23.5
116,laituce,150,50,150,6.9,700.9,24.4
117,laituce,150,50,150,6.9,700.9,25.3
118,laituce,150,50,150,6.9,700.9,26.2
119,laituce,150,50,150,6.9,700.9,27.1
120,laituce,150,50,150,6.9,700.9,28.0
121,laituce,150,50,150,6.9,700.9,28.9
122,laituce,150,50,150,6.9,700.9,29.8
123,laituce,150,50,150,6.9,700.9,30.7
124,laituce,150,50,150,6.9,700.9,31.6
125,laituce,150,50,150,7.8,700.9,10.0
126,laituce,150,50,150,7.8,700.9,10.9
127,laituce,150,50,150,7.8,700.9,11.8
128,laituce,150,50,150,7.8,700.9,12.7
129,laituce,150,50,150,7.8,700.9,13.6
130,laituce,150,50,150,7.8,700.9,14.5
131,laituce,150,50,150,7.8,700.9,15.4
132,laituce,150,50,150,7.8,700.9,16.3
133,laituce,150,50,150,7.8,700.9,17.2
134,laituce,150,50,150,7.8,700.9,18.1
135,laituce,150,50,150,7.8,700.9,19.0
136,laituce,150,50,150,7.8,700.9,19.9
137,laituce,150,50,150,7.8,700.9,20.8
138,laituce,150,50,150,7.8,700.9,21.7
139,laituce,150,50,150,7.8,700.9,22.6
140,laituce,150,50,150,7.8,700.9,23.5
141,laituce,150,50,150,7.8,700.9,24.4
142,laituce,150,50,150,7.8,700.9,25.3
143,laituce,150,50,150,7.8,700.9,26.2
144,laituce,150,50,150,7.8,700.9,27.1
145,laituce,150,50,150,7.8,700.9,28.0
146,laituce,150,50,150,7.8,700.9,28.9
147,laituce,150,50,150,7.8,700.9,29.8
148,laituce,150,50,150,7.8,700.9,30.7
149,laituce,150,50,150,7.8,700.9,31.6
150,laituce,150,50,150,6.0,701.8,10.0
151,laituce,150,50,150,6.0,701.8,10.9
152,laituce,150,50,150,6.0,701.8,11.8
153,laituce,150,50,150,6.0,701.8,12.7
154,laituce,150,50,150,6.0,701.8,13.6
155,laituce,150,50,150,6.0,701.8,14.5
156,laituce,150,50,150,6.0,701.8,15.4
157,laituce,150,50,150,6.0,701.8,16.3
158,laituce,150,50,150,6.0,701.8,17.2
159,laituce,150,50,150,6.0,701.8,18.1
160,laituce,150,50,150,6.0,701.8,19.0
161,laituce,150,50,150,6.0,701.8,19.9
162,laituce,150,50,150,6.0,701.8,20.8
163,laituce,150,50,150,6.0,701.8,21.7
164,laituce,150,50,150,6.0,701.8,22.6
165,laituce,150,50,150,6.0,701.8,23.5
166,laituce,150,50,150,6.0,701.8,24.4
167,laituce,150,50,150,6.0,701.8,25.3
168,laituce,150,50,150,6.0,701.8,26.2
169,laituce,150,50,150,6.0,701.8,27.1
170,laituce,150,50,150,6.0,701.8,28.0
171,laituce,150,50,150,6.0,701.8,28.9
172,laituce,150,50,150,6.0,701.8,29.8
173,laituce,150,50,150,6.0,701.8,30.7
174,laituce,150,50,150,6.0,701.8,31.6
175,laituce,150,50,150,6.9,701.8,10.0
176,laituce,150,50,150,6.9,701.8,10.9
177,laituce,150,50,150,6.9,701.8,11.8
178,laituce,150,50,150,6.9,701.8,12.7
179,laituce,150,50,150,6.9,701.8,13.6
180,laituce,150,50,150,6.9,701.8,14.5
181,laituce,150,50,150,6.9,701.8,15.4
182,laituce,150,50,150,6.9,701.8,16.3
183,laituce,150,50,150,6.9,701.8,17.2
184,laituce,150,50,150,6.9,701.8,18.1
185,laituce,150,50,150,6.9,701.8,19.0
186,laituce,150,50,150,6.9,701.8,19.9
187,laituce,150,50,150,6.9,701.8,20.8
188,laituce,150,50,150,6.9,701.8,21.7
189,laituce,150,50,150,6.9,701.8,22.6
190,laituce,150,50,150,6.9,701.8,23.5
191,laituce,150,50,150,6.9,701.8,24.4
192,laituce,150,50,150,6.9,701.8,25.3
193,laituce,150,50,150,6.9,701.8,26.2
194,laituce,150,50,150,6.9,701.8,27.1
195,laituce,150,50,150,6.9,701.8,28.0
196,laituce,150,50,150,6.9,701.8,28.9
197,laituce,150,50,150,6.9,701.8,29.8
198,laituce,150,50,150,6.9,701.8,30.7
199,laituce,150,50,150,6.9,701.8,31.6
200,laituce,150,50,150,7.8,701.8,10.0
201,laituce,150,50,150,7.8,701.8,10.9
202,laituce,150,50,150,7.8,701.8,11.8
203,laituce,150,50,150,7.8,701.8,12.7
204,laituce,150,50,150,7.8,701.8,13.6
205,laituce,150,50,150,7.8,701.8,14.5
206,laituce,150,50,150,7.8,701.8,15.4
207,laituce,150,50,150,7.8,701.8,16.3
208,laituce,150,50,150,7.8,701.8,17.2
209,laituce,150,50,150,7.8,701.8,18.1
210,laituce,150,50,150,7.8,701.8,19.0
211,laituce,150,50,150,7.8,701.8,19.9
212,laituce,150,50,150,7.8,701.8,20.8
213,laituce,150,50,150,7.8,701.8,21.7
214,laituce,150,50,150,7.8,701.8,22.6
215,laituce,150,50,150,7.8,701.8,23.5
216,laituce,150,50,150,7.8,701.8,24.4
