,Plant,N,P,K,pH,Rainfall,Temperature
0,maize,35,60,35,7.0,500.0,10.0
1,maize,35,60,35,7.0,500.0,10.9
2,maize,35,60,35,7.0,500.0,11.8
3,maize,35,60,35,7.0,500.0,12.7
4,maize,35,60,35,7.0,500.0,13.6
5,maize,35,60,35,7.0,500.0,14.5
6,maize,35,60,35,7.0,500.0,15.4
7,maize,35,60,35,7.0,500.0,16.3
8,maize,35,60,35,7.0,500.0,17.2
9,maize,35,60,35,7.0,500.0,18.1
10,maize,35,60,35,7.0,500.0,19.0
11,maize,35,60,35,7.0,500.0,19.9
12,maize,35,60,35,7.0,500.0,20.8
13,maize,35,60,35,7.0,500.0,21.7
14,maize,35,60,35,7.0,500.0,22.6
15,maize,35,60,35,7.0,500.0,23.5
16,maize,35,60,35,7.0,500.0,24.4
17,maize,35,60,35,7.0,500.0,25.3
18,maize,35,60,35,7.0,500.0,26.2
19,maize,35,60,35,7.0,500.0,27.1
20,maize,35,60,35,7.0,500.0,28.0
21,maize,35,60,35,7.0,500.0,28.9
22,maize,35,60,35,7.0,500.0,29.8
23,maize,35,60,35,7.0,500.0,30.7
24,maize,35,60,35,7.0,500.0,31.6
25,maize,35,60,35,7.0,500.0,32.5
26,maize,35,60,35,7.0,500.0,33.4
27,maize,35,60,35,7.0,500.0,34.3
28,maize,35,60,35,7.0,500.9,10.0
29,maize,35,60,35,7.0,500.9,10.9
30,maize,35,60,35,7.0,500.9,11.8
31,maize,35,60,35,7.0,500.9,12.7
32,maize,35,60,35,7.0,500.9,13.6
33,maize,35,60,35,7.0,500.9,14.5
34,maize,35,60,35,7.0,500.9,15.4
35,maize,35,60,35,7.0,500.9,16.3
36,maize,35,60,35,7.0,500.9,17.2
37,maize,35,60,35,7.0,500.9,18.1
38,maize,35,60,35,7.0,500.9,19.0
39,maize,35,60,35,7.0,500.9,19.9
40,maize,35,60,35,7.0,500.9,20.8
41,maize,35,60,35,7.0,500.9,21.7
42,maize,35,60,35,7.0,500.9,22.6
43,maize,35,60,35,7.0,500.9,23.5
44,maize,35,60,35,7.0,500.9,24.4
45,maize,35,60,35,7.0,500.9,25.3
46,maize,35,60,35,7.0,500.9,26.2
47,maize,35,60,35,7.0,500.9,27.1
48,maize,35,60,35,7.0,500.9,28.0
49,maize,35,60,35,7.0,500.9,28.9
50,maize,35,60,35,7.0,500.9,29.8
51,maize,35,60,35,7.0,500.9,30.7
52,maize,35,60,35,7.0,500.9,31.6
53,maize,35,60,35,7.0,500.9,32.5
54,maize,35,60,35,7.0,500.9,33.4
55,maize,35,60,35,7.0,500.9,34.3
56,maize,35,60,35,7.0,501.8,10.0
57,maize,35,60,35,7.0,501.8,10.9
58,maize,35,60,35,7.0,501.8,11.8
59,maize,35,60,35,7.0,501.8,12.7
60,maize,35,60,35,7.0,501.8,13.6
61,maize,35,60,35,7.0,501.8,14.5
62,maize,35,60,35,7.0,501.8,15.4
63,maize,35,60,35,7.0,501.8,16.3
64,maize,35,60,35,7.0,501.8,17.2
65,maize,35,60,35,7.0,501.8,18.1
66,maize,35,60,35,7.0,501.8,19.0
67,maize,35,60,35,7.0,501.8,19.9
68,maize,35,60,35,7.0,501.8,20.8
69,maize,35,60,35,7.0,501.8,21.7
70,maize,35,60,35,7.0,501.8,22.6
71,maize,35,60,35,7.0,501.8,23.5
72,maize,35,60,35,7.0,501.8,24.4
73,maize,35,60,35,7.0,501.8,25.3
74,maize,35,60,35,7.0,501.8,26.2
75,maize,35,60,35,7.0,501.8,27.1
76,maize,35,60,35,7.0,501.8,28.0
77,maize,35,60,35,7.0,501.8,28.9
78,maize,35,60,35,7.0,501.8,29.8
79,maize,35,60,35,7.0,501.8,30.7
80,maize,35,60,35,7.0,501.8,31.6
81,maize,35,60,35,7.0,501.8,32.5
82,maize,35,60,35,7.0,501.8,33.4
83,maize,35,60,35,7.0,501.8,34.3
84,maize,35,60,35,7.0,502.7,10.0
85,maize,35,60,35,7.0,502.7,10.9
86,maize,35,60,35,7.0,502.7,11.8
87,maize,35,60,35,7.0,502.7,12.7
88,maize,35,60,35,7.0,502.7,13.6
89,maize,35,60,35,7.0,502.7,14.5
90,maize,35,60,35,7.0,502.7,15.4
91,maize,35,60,35,7.0,502.7,16.3
92,maize,35,60,35,7.0,502.7,17.2
93,maize,35,60,35,7.0,502.7,18.1
94,maize,35,60,35,7.0,502.7,19.0
95,maize,35,60,35,7.0,502.7,19.9
96,maize,35,60,35,7.0,502.7,20.8
97,maize,35,60,35,7.0,502.7,21.7
98,maize,35,60,35,7.0,502.7,22.6
99,maize,35,60,35,7.0,502.7,23.5
100,maize,35,60,35,7.0,502.7,24.4
101,maize,35,60,35,7.0,502.7,25.3
102,maize,35,60,35,7.0,502.7,26.2
103,maize,35,60,35,7.0,502.7,27.1
104,maize,35,60,35,7.0,502.7,28.0
105,maize,35,60,35,7.0,502.7,28.9
106,maize,35,60,35,7.0,502.7,29.8
107,maize,35,60,35,7.0,502.7,30.7
108,maize,35,60,35,7.0,502.7,31.6
109,maize,35,60,35,7.0,502.7,32.5
110,maize,35,60,35,7.0,502.7,33.4
111,maize,35,60,35,7.0,502.7,34.3
112,maize,35,60,35,7.0,503.6,10.0
