,Plant,N,P,K,pH,Rainfall,Temperature
0,okra,25,45,45,6.0,1000.0,20.0
1,okra,25,45,45,6.0,1000.0,20.9
2,okra,25,45,45,6.0,1000.0,21.8
3,okra,25,45,45,6.0,1000.0,22.7
4,okra,25,45,45,6.0,1000.0,23.6
5,okra,25,45,45,6.0,1000.0,24.5
6,okra,25,45,45,6.0,1000.0,25.4
7,okra,25,45,45,6.0,1000.0,26.3
8,okra,25,45,45,6.0,1000.0,27.2
9,okra,25,45,45,6.0,1000.0,28.1
10,okra,25,45,45,6.0,1000.0,29.0
11,okra,25,45,45,6.0,1000.0,29.9
12,okra,25,45,45,6.9,1000.0,20.0
13,okra,25,45,45,6.9,1000.0,20.9
14,okra,25,45,45,6.9,1000.0,21.8
15,okra,25,45,45,6.9,1000.0,22.7
16,okra,25,45,45,6.9,1000.0,23.6
17,okra,25,45,45,6.9,1000.0,24.5
18,okra,25,45,45,6.9,1000.0,25.4
19,okra,25,45,45,6.9,1000.0,26.3
20,okra,25,45,45,6.9,1000.0,27.2
21,okra,25,45,45,6.9,1000.0,28.1
22,okra,25,45,45,6.9,1000.0,29.0
23,okra,25,45,45,6.9,1000.0,29.9
24,okra,25,45,45,6.0,1000.9,20.0
25,okra,25,45,45,6.0,1000.9,20.9
26,okra,25,45,45,6.0,1000.9,21.8
27,okra,25,45,45,6.0,1000.9,22.7
28,okra,25,45,45,6.0,1000.9,23.6
29,okra,25,45,45,6.0,1000.9,24.5
30,okra,25,45,45,6.0,1000.9,25.4
31,okra,25,45,45,6.0,1000.9,26.3
32,okra,25,45,45,6.0,1000.9,27.2
33,okra,25,45,45,6.0,1000.9,28.1
34,okra,25,45,45,6.0,1000.9,29.0
35,okra,25,45,45,6.0,1000.9,29.9
36,okra,25,45,45,6.9,1000.9,20.0
37,okra,25,45,45,6.9,1000.9,20.9
38,okra,25,45,45,6.9,1000.9,21.8
39,okra,25,45,45,6.9,1000.9,22.7
40,okra,25,45,45,6.9,1000.9,23.6
41,okra,25,45,45,6.9,1000.9,24.5
42,okra,25,45,45,6.9,1000.9,25.4
43,okra,25,45,45,6.9,1000.9,26.3
44,okra,25,45,45,6.9,1000.9,27.2
45,okra,25,45,45,6.9,1000.9,28.1
46,okra,25,45,45,6.9,1000.9,29.0
47,okra,25,45,45,6.9,1000.9,29.9
48,okra,25,45,45,6.0,1001.8,20.0
49,okra,25,45,45,6.0,1001.8,20.9
50,okra,25,45,45,6.0,1001.8,21.8
51,okra,25,45,45,6.0,1001.8,22.7
52,okra,25,45,45,6.0,1001.8,23.6
53,okra,25,45,45,6.0,1001.8,24.5
54,okra,25,45,45,6.0,1001.8,25.4
55,okra,25,45,45,6.0,1001.8,26.3
56,okra,25,45,45,6.0,1001.8,27.2
57,okra,25,45,45,6.0,1001.8,28.1
58,okra,25,45,45,6.0,1001.8,29.0
59,okra,25,45,45,6.0,1001.8,29.9
60,okra,25,45,45,6.9,1001.8,20.0
61,okra,25,45,45,6.9,1001.8,20.9
62,okra,25,45,45,6.9,1001.8,21.8
63,okra,25,45,45,6.9,1001.8,22.7
64,okra,25,45,45,6.9,1001.8,23.6
65,okra,25,45,45,6.9,1001.8,24.5
66,okra,25,45,45,6.9,1001.8,25.4
67,okra,25,45,45,6.9,1001.8,26.3
68,okra,25,45,45,6.9,1001.8,27.2
69,okra,25,45,45,6.9,1001.8,28.1
70,okra,25,45,45,6.9,1001.8,29.0
71,okra,25,45,45,6.9,1001.8,29.9
72,okra,25,45,45,6.0,1002.7,20.0
73,okra,25,45,45,6.0,1002.7,20.9
74,okra,25,45,45,6.0,1002.7,21.8
75,okra,25,45,45,6.0,1002.7,22.7
76,okra,25,45,45,6.0,1002.7,23.6
77,okra,25,45,45,6.0,1002.7,24.5
78,okra,25,45,45,6.0,1002.7,25.4
79,okra,25,45,45,6.0,1002.7,26.3
80,okra,25,45,45,6.0,1002.7,27.2
81,okra,25,45,45,6.0,1002.7,28.1
82,okra,25,45,45,6.0,1002.7,29.0
83,okra,25,45,45,6.0,1002.7,29.9
84,okra,25,45,45,6.9,1002.7,20.0
85,okra,25,45,45,6.9,1002.7,20.9
86,okra,25,45,45,6.9,1002.7,21.8
87,okra,25,45,45,6.9,1002.7,22.7
88,okra,25,45,45,6.9,1002.7,23.6
89,okra,25,45,45,6.9,1002.7,24.5
90,okra,25,45,45,6.9,1002.7,25.4
91,okra,25,45,45,6.9,1002.7,26.3
92,okra,25,45,45,6.9,1002.7,27.2
93,okra,25,45,45,6.9,1002.7,28.1
94,okra,25,45,45,6.9,1002.7,29.0
95,okra,25,45,45,6.9,1002.7,29.9
96,okra,25,45,45,6.0,1003.6,20.0
97,okra,25,45,45,6.0,1003.6,20.9
98,okra,25,45,45,6.0,1003.6,21.8
99,okra,25,45,45,6.0,1003.6,22.7
100,okra,25,45,45,6.0,1003.6,23.6
101,okra,25,45,45,6.0,1003.6,24.5
102,okra,25,45,45,6.0,1003.6,25.4
103,okra,25,45,45,6.0,1003.6,26.3
104,okra,25,45,45,6.0,1003.6,27.2
105,okra,25,45,45,6.0,1003.6,28.1
106,okra,25,45,45,6.0,1003.6,29.0
107,okra,25,45,45,6.0,1003.6,29.9
108,okra,25,45,45,6.9,1003.6,20.0
109,okra,25,45,45,6.9,1003.6,20.9
110,okra,25,45,45,6.9,1003.6,21.8
111,okra,25,45,45,6.9,1003.6,22.7
112,okra,25,45,45,6.9,1003.6,23.6
113,okra,25,45,45,6.9,1003.6,24.5
114,okra,25,45,45,6.9,1003.6,25.4
115,okra,25,45,45,6.9,1003.6,26.3
116,okra,25,45,45,6.9,1003.6,27.2
117,okra,25,45,45,6.9,1003.6,28.1
118,okra,25,45,45,6.9,1003.6,29.0
119,okra,25,45,45,6.9,1003.6,29.9
120,okra,25,45,45,6.0,1004.5,20.0
121,okra,25,45,45,6.0,1004.5,20.9
122,okra,25,45,45,6.0,1004.5,21.8
