,Plant,N,P,K,pH,Rainfall,Temperature
0,pineaple,8,4,20,4.5,900.0,21.0
1,pineaple,8,4,20,4.5,900.0,21.9
2,pineaple,8,4,20,4.5,900.0,22.8
3,pineaple,8,4,20,4.5,900.0,23.7
4,pineaple,8,4,20,4.5,900.0,24.6
5,pineaple,8,4,20,4.5,900.0,25.5
6,pineaple,8,4,20,5.4,900.0,21.0
7,pineaple,8,4,20,5.4,900.0,21.9
8,pineaple,8,4,20,5.4,900.0,22.8
9,pineaple,8,4,20,5.4,900.0,23.7
10,pineaple,8,4,20,5.4,900.0,24.6
11,pineaple,8,4,20,5.4,900.0,25.5
12,pineaple,8,4,20,4.5,900.9,21.0
13,pineaple,8,4,20,4.5,900.9,21.9
14,pineaple,8,4,20,4.5,900.9,22.8
15,pineaple,8,4,20,4.5,900.9,23.7
16,pineaple,8,4,20,4.5,900.9,24.6
17,pineaple,8,4,20,4.5,900.9,25.5
18,pineaple,8,4,20,5.4,900.9,21.0
19,pineaple,8,4,20,5.4,900.9,21.9
20,pineaple,8,4,20,5.4,900.9,22.8
21,pineaple,8,4,20,5.4,900.9,23.7
22,pineaple,8,4,20,5.4,900.9,24.6
23,pineaple,8,4,20,5.4,900.9,25.5
24,pineaple,8,4,20,4.5,901.8,21.0
25,pineaple,8,4,20,4.5,901.8,21.9
26,pineaple,8,4,20,4.5,901.8,22.8
27,pineaple,8,4,20,4.5,901.8,23.7
28,pineaple,8,4,20,4.5,901.8,24.6
29,pineaple,8,4,20,4.5,901.8,25.5
30,pineaple,8,4,20,5.4,901.8,21.0
31,pineaple,8,4,20,5.4,901.8,21.9
32,pineaple,8,4,20,5.4,901.8,22.8
33,pineaple,8,4,20,5.4,901.8,23.7
34,pineaple,8,4,20,5.4,901.8,24.6
35,pineaple,8,4,20,5.4,901.8,25.5
36,pineaple,8,4,20,4.5,902.7,21.0
37,pineaple,8,4,20,4.5,902.7,21.9
38,pineaple,8,4,20,4.5,902.7,22.8
39,pineaple,8,4,20,4.5,902.7,23.7
40,pineaple,8,4,20,4.5,902.7,24.6
41,pineaple,8,4,20,4.5,902.7,25.5
42,pineaple,8,4,20,5.4,902.7,21.0
43,pineaple,8,4,20,5.4,902.7,21.9
44,pineaple,8,4,20,5.4,902.7,22.8
45,pineaple,8,4,20,5.4,902.7,23.7
46,pineaple,8,4,20,5.4,902.7,24.6
47,pineaple,8,4,20,5.4,902.7,25.5
48,pineaple,8,4,20,4.5,903.6,21.0
49,pineaple,8,4,20,4.5,903.6,21.9
50,pineaple,8,4,20,4.5,903.6,22.8
51,pineaple,8,4,20,4.5,903.6,23.7
52,pineaple,8,4,20,4.5,903.6,24.6
53,pineaple,8,4,20,4.5,903.6,25.5
54,pineaple,8,4,20,5.4,903.6,21.0
55,pineaple,8,4,20,5.4,903.6,21.9
56,pineaple,8,4,20,5.4,903.6,22.8
57,pineaple,8,4,20,5.4,903.6,23.7
58,pineaple,8,4,20,5.4,903.6,24.6
59,pineaple,8,4,20,5.4,903.6,25.5
60,pineaple,8,4,20,4.5,904.5,21.0
61,pineaple,8,4,20,4.5,904.5,21.9
62,pineaple,8,4,20,4.5,904.5,22.8
63,pineaple,8,4,20,4.5,904.5,23.7
64,pineaple,8,4,20,4.5,904.5,24.6
65,pineaple,8,4,20,4.5,904.5,25.5
66,pineaple,8,4,20,5.4,904.5,21.0
67,pineaple,8,4,20,5.4,904.5,21.9
68,pineaple,8,4,20,5.4,904.5,22.8
69,pineaple,8,4,20,5.4,904.5,23.7
70,pineaple,8,4,20,5.4,904.5,24.6
71,pineaple,8,4,20,5.4,904.5,25.5
72,pineaple,8,4,20,4.5,905.4,21.0
73,pineaple,8,4,20,4.5,905.4,21.9
74,pineaple,8,4,20,4.5,905.4,22.8
75,pineaple,8,4,20,4.5,905.4,23.7
76,pineaple,8,4,20,4.5,905.4,24.6
77,pineaple,8,4,20,4.5,905.4,25.5
78,pineaple,8,4,20,5.4,905.4,21.0
79,pineaple,8,4,20,5.4,905.4,21.9
80,pineaple,8,4,20,5.4,905.4,22.8
81,pineaple,8,4,20,5.4,905.4,23.7
82,pineaple,8,4,20,5.4,905.4,24.6
83,pineaple,8,4,20,5.4,905.4,25.5
84,pineaple,8,4,20,4.5,906.3,21.0
85,pineaple,8,4,20,4.5,906.3,21.9
86,pineaple,8,4,20,4.5,906.3,22.8
87,pineaple,8,4,20,4.5,906.3,23.7
88,pineaple,8,4,20,4.5,906.3,24.6
89,pineaple,8,4,20,4.5,906.3,25.5
90,pineaple,8,4,20,5.4,906.3,21.0
91,pineaple,8,4,20,5.4,906.3,21.9
92,pineaple,8,4,20,5.4,906.3,22.8
93,pineaple,8,4,20,5.4,906.3,23.7
94,pineaple,8,4,20,5.4,906.3,24.6
95,pineaple,8,4,20,5.4,906.3,25.5
96,pineaple,8,4,20,4.5,907.2,21.0
97,pineaple,8,4,20,4.5,907.2,21.9
98,pineaple,8,4,20,4.5,907.2,22.8
