,Plant,N,P,K,pH,Rainfall,Temperature
0,potatos,210,10,210,6.0,1000.0,25.0
1,potatos,210,10,210,6.0,1000.0,25.9
2,potatos,210,10,210,6.0,1000.0,26.8
3,potatos,210,10,210,6.0,1000.0,27.7
4,potatos,210,10,210,6.0,1000.0,28.6
5,potatos,210,10,210,6.0,1000.0,29.5
6,potatos,210,10,210,6.0,1000.0,30.4
7,potatos,210,10,210,6.0,1000.0,31.3
8,potatos,210,10,210,6.0,1000.0,32.2
9,potatos,210,10,210,6.0,1000.0,33.1
10,potatos,210,10,210,6.0,1000.0,34.0
11,potatos,210,10,210,6.0,1000.0,34.9
12,potatos,210,10,210,6.9,1000.0,25.0
13,potatos,210,10,210,6.9,1000.0,25.9
14,potatos,210,10,210,6.9,1000.0,26.8
15,potatos,210,10,210,6.9,1000.0,27.7
16,potatos,210,10,210,6.9,1000.0,28.6
17,potatos,210,10,210,6.9,1000.0,29.5
18,potatos,210,10,210,6.9,1000.0,30.4
19,potatos,210,10,210,6.9,1000.0,31.3
20,potatos,210,10,210,6.9,1000.0,32.2
21,potatos,210,10,210,6.9,1000.0,33.1
22,potatos,210,10,210,6.9,1000.0,34.0
23,potatos,210,10,210,6.9,1000.0,34.9
24,potatos,210,10,210,6.0,1000.9,25.0
25,potatos,210,10,210,6.0,1000.9,25.9
26,potatos,210,10,210,6.0,1000.9,26.8
27,potatos,210,10,210,6.0,1000.9,27.7
28,potatos,210,10,210,6.0,1000.9,28.6
29,potatos,210,10,210,6.0,1000.9,29.5
30,potatos,210,10,210,6.0,1000.9,30.4
31,potatos,210,10,210,6.0,1000.9,31.3
32,potatos,210,10,210,6.0,1000.9,32.2
33,potatos,210,10,210,6.0,1000.9,33.1
34,potatos,210,10,210,6.0,1000.9,34.0
35,potatos,210,10,210,6.0,1000.9,34.9
36,potatos,210,10,210,6.9,1000.9,25.0
37,potatos,210,10,210,6.9,1000.9,25.9
38,potatos,210,10,210,6.9,1000.9,26.8
39,potatos,210,10,210,6.9,1000.9,27.7
40,potatos,210,10,210,6.9,1000.9,28.6
41,potatos,210,10,210,6.9,1000.9,29.5
42,potatos,210,10,210,6.9,1000.9,30.4
43,potatos,210,10,210,6.9,1000.9,31.3
44,potatos,210,10,210,6.9,1000.9,32.2
45,potatos,210,10,210,6.9,1000.9,33.1
46,potatos,210,10,210,6.9,1000.9,34.0
47,potatos,210,10,210,6.9,1000.9,34.9
48,potatos,210,10,210,6.0,1001.8,25.0
49,potatos,210,10,210,6.0,1001.8,25.9
50,potatos,210,10,210,6.0,1001.8,26.8
51,potatos,210,10,210,6.0,1001.8,27.7
52,potatos,210,10,210,6.0,1001.8,28.6
53,potatos,210,10,210,6.0,1001.8,29.5
54,potatos,210,10,210,6.0,1001.8,30.4
55,potatos,210,10,210,6.0,1001.8,31.3
56,potatos,210,10,210,6.0,1001.8,32.2
57,potatos,210,10,210,6.0,1001.8,33.1
58,potatos,210,10,210,6.0,1001.8,34.0
59,potatos,210,10,210,6.0,1001.8,34.9
60,potatos,210,10,210,6.9,1001.8,25.0
61,potatos,210,10,210,6.9,1001.8,25.9
62,potatos,210,10,210,6.9,1001.8,26.8
63,potatos,210,10,210,6.9,1001.8,27.7
64,potatos,210,10,210,6.9,1001.8,28.6
65,potatos,210,10,210,6.9,1001.8,29.5
66,potatos,210,10,210,6.9,1001.8,30.4
67,potatos,210,10,210,6.9,1001.8,31.3
68,potatos,210,10,210,6.9,1001.8,32.2
69,potatos,210,10,210,6.9,1001.8,33.1
70,potatos,210,10,210,6.9,1001.8,34.0
71,potatos,210,10,210,6.9,1001.8,34.9
72,potatos,210,10,210,6.0,1002.7,25.0
73,potatos,210,10,210,6.0,1002.7,25.9
74,potatos,210,10,210,6.0,1002.7,26.8
75,potatos,210,10,210,6.0,1002.7,27.7
76,potatos,210,10,210,6.0,1002.7,28.6
77,potatos,210,10,210,6.0,1002.7,29.5
78,potatos,210,10,210,6.0,1002.7,30.4
79,potatos,210,10,210,6.0,1002.7,31.3
80,potatos,210,10,210,6.0,1002.7,32.2
81,potatos,210,10,210,6.0,1002.7,33.1
82,potatos,210,10,210,6.0,1002.7,34.0
83,potatos,210,10,210,6.0,1002.7,34.9
84,potatos,210,10,210,6.9,1002.7,25.0
85,potatos,210,10,210,6.9,1002.7,25.9
86,potatos,210,10,210,6.9,1002.7,26.8
87,potatos,210,10,210,6.9,1002.7,27.7
88,potatos,210,10,210,6.9,1002.7,28.6
89,potatos,210,10,210,6.9,1002.7,29.5
90,potatos,210,10,210,6.9,1002.7,30.4
91,potatos,210,10,210,6.9,1002.7,31.3
92,potatos,210,10,210,6.9,1002.7,32.2
93,potatos,210,10,210,6.9,1002.7,33.1
94,potatos,210,10,210,6.9,1002.7,34.0
95,potatos,210,10,210,6.9,1002.7,34.9
96,potatos,210,10,210,6.0,1003.6,25.0
97,potatos,210,10,210,6.0,1003.6,25.9
98,potatos,210,10,210,6.0,1003.6,26.8
99,potatos,210,10,210,6.0,1003.6,27.7
100,potatos,210,10,210,6.0,1003.6,28.6
101,potatos,210,10,210,6.0,1003.6,29.5
102,potatos,210,10,210,6.0,1003.6,30.4
103,potatos,210,10,210,6.0,1003.6,31.3
104,potatos,210,10,210,6.0,1003.6,32.2
105,potatos,210,10,210,6.0,1003.6,33.1
106,potatos,210,10,210,6.0,1003.6,34.0
107,potatos,210,10,210,6.0,1003.6,34.9
108,potatos,210,10,210,6.9,1003.6,25.0
109,potatos,210,10,210,6.9,1003.6,25.9
110,potatos,210,10,210,6.9,1003.6,26.8
111,potatos,210,10,210,6.9,1003.6,27.7
112,potatos,210,10,210,6.9,1003.6,28.6
113,potatos,210,10,210,6.9,1003.6,29.5
114,potatos,210,10,210,6.9,1003.6,30.4
115,potatos,210,10,210,6.9,1003.6,31.3
116,potatos,210,10,210,6.9,1003.6,32.2
117,potatos,210,10,210,6.9,1003.6,33.1
118,potatos,210,10,210,6.9,1003.6,34.0
119,potatos,210,10,210,6.9,1003.6,34.9
120,potatos,210,10,210,6.0,1004.5,25.0
121,potatos,210,10,210,6.0,1004.5,25.9
122,potatos,210,10,210,6.0,1004.5,26.8
123,potatos,210,10,210,6.0,1004.5,27.7
124,potatos,210,10,210,6.0,1004.5,28.6
125,potatos,210,10,210,6.0,1004.5,29.5
126,potatos,210,10,210,6.0,1004.5,30.4
127,potatos,210,10,210,6.0,1004.5,31.3
128,potatos,210,10,210,6.0,1004.5,32.2
129,potatos,210,10,210,6.0,1004.5,33.1
130,potatos,210,10,210,6.0,1004.5,34.0
131,potatos,210,10,210,6.0,1004.5,34.9
132,potatos,210,10,210,6.9,1004.5,25.0
133,potatos,210,10,210,6.9,1004.5,25.9
