,Plant,N,P,K,pH,Rainfall,Temperature
0,sugarcane,50,40,80,7.0,1000.0,15.0
1,sugarcane,50,40,80,7.0,1000.0,15.9
2,sugarcane,50,40,80,7.0,1000.0,16.8
3,sugarcane,50,40,80,7.0,1000.0,17.7
4,sugarcane,50,40,80,7.0,1000.0,18.6
5,sugarcane,50,40,80,7.0,1000.0,19.5
6,sugarcane,50,40,80,7.0,1000.0,20.4
7,sugarcane,50,40,80,7.0,1000.0,21.3
8,sugarcane,50,40,80,7.0,1000.0,22.2
9,sugarcane,50,40,80,7.0,1000.0,23.1
10,sugarcane,50,40,80,7.0,1000.0,24.0
11,sugarcane,50,40,80,7.0,1000.0,24.9
12,sugarcane,50,40,80,7.0,1000.0,25.8
13,sugarcane,50,40,80,7.0,1000.0,26.7
14,sugarcane,50,40,80,7.0,1000.0,27.6
15,sugarcane,50,40,80,7.0,1000.0,28.5
16,sugarcane,50,40,80,7.0,1000.0,29.4
17,sugarcane,50,40,80,7.0,1000.0,30.3
18,sugarcane,50,40,80,7.0,1000.0,31.2
19,sugarcane,50,40,80,7.0,1000.0,32.1
20,sugarcane,50,40,80,7.0,1000.0,33.0
21,sugarcane,50,40,80,7.0,1000.0,33.9
22,sugarcane,50,40,80,7.0,1000.0,34.8
23,sugarcane,50,40,80,7.0,1000.9,15.0
24,sugarcane,50,40,80,7.0,1000.9,15.9
25,sugarcane,50,40,80,7.0,1000.9,16.8
26,sugarcane,50,40,80,7.0,1000.9,17.7
27,sugarcane,50,40,80,7.0,1000.9,18.6
28,sugarcane,50,40,80,7.0,1000.9,19.5
29,sugarcane,50,40,80,7.0,1000.9,20.4
30,sugarcane,50,40,80,7.0,1000.9,21.3
31,sugarcane,50,40,80,7.0,1000.9,22.2
32,sugarcane,50,40,80,7.0,1000.9,23.1
33,sugarcane,50,40,80,7.0,1000.9,24.0
34,sugarcane,50,40,80,7.0,1000.9,24.9
35,sugarcane,50,40,80,7.0,1000.9,25.8
36,sugarcane,50,40,80,7.0,1000.9,26.7
37,sugarcane,50,40,80,7.0,1000.9,27.6
38,sugarcane,50,40,80,7.0,1000.9,28.5
39,sugarcane,50,40,80,7.0,1000.9,29.4
40,sugarcane,50,40,80,7.0,1000.9,30.3
41,sugarcane,50,40,80,7.0,1000.9,31.2
42,sugarcane,50,40,80,7.0,1000.9,32.1
43,sugarcane,50,40,80,7.0,1000.9,33.0
44,sugarcane,50,40,80,7.0,1000.9,33.9
45,sugarcane,50,40,80,7.0,1000.9,34.8
46,sugarcane,50,40,80,7.0,1001.8,15.0
47,sugarcane,50,40,80,7.0,1001.8,15.9
48,sugarcane,50,40,80,7.0,1001.8,16.8
49,sugarcane,50,40,80,7.0,1001.8,17.7
50,sugarcane,50,40,80,7.0,1001.8,18.6
51,sugarcane,50,40,80,7.0,1001.8,19.5
52,sugarcane,50,40,80,7.0,1001.8,20.4
53,sugarcane,50,40,80,7.0,1001.8,21.3
54,sugarcane,50,40,80,7.0,1001.8,22.2
55,sugarcane,50,40,80,7.0,1001.8,23.1
56,sugarcane,50,40,80,7.0,1001.8,24.0
57,sugarcane,50,40,80,7.0,1001.8,24.9
58,sugarcane,50,40,80,7.0,1001.8,25.8
59,sugarcane,50,40,80,7.0,1001.8,26.7
60,sugarcane,50,40,80,7.0,1001.8,27.6
61,sugarcane,50,40,80,7.0,1001.8,28.5
62,sugarcane,50,40,80,7.0,1001.8,29.4
63,sugarcane,50,40,80,7.0,1001.8,30.3
64,sugarcane,50,40,80,7.0,1001.8,31.2
65,sugarcane,50,40,80,7.0,1001.8,32.1
66,sugarcane,50,40,80,7.0,1001.8,33.0
67,sugarcane,50,40,80,7.0,1001.8,33.9
68,sugarcane,50,40,80,7.0,1001.8,34.8
69,sugarcane,50,40,80,7.0,1002.7,15.0
70,sugarcane,50,40,80,7.0,1002.7,15.9
71,sugarcane,50,40,80,7.0,1002.7,16.8
72,sugarcane,50,40,80,7.0,1002.7,17.7
73,sugarcane,50,40,80,7.0,1002.7,18.6
74,sugarcane,50,40,80,7.0,1002.7,19.5
75,sugarcane,50,40,80,7.0,1002.7,20.4
76,sugarcane,50,40,80,7.0,1002.7,21.3
77,sugarcane,50,40,80,7.0,1002.7,22.2
78,sugarcane,50,40,80,7.0,1002.7,23.1
79,sugarcane,50,40,80,7.0,1002.7,24.0
80,sugarcane,50,40,80,7.0,1002.7,24.9
81,sugarcane,50,40,80,7.0,1002.7,25.8
82,sugarcane,50,40,80,7.0,1002.7,26.7
83,sugarcane,50,40,80,7.0,1002.7,27.6
84,sugarcane,50,40,80,7.0,1002.7,28.5
85,sugarcane,50,40,80,7.0,1002.7,29.4
86,sugarcane,50,40,80,7.0,1002.7,30.3
87,sugarcane,50,40,80,7.0,1002.7,31.2
88,sugarcane,50,40,80,7.0,1002.7,32.1
89,sugarcane,50,40,80,7.0,1002.7,33.0
90,sugarcane,50,40,80,7.0,1002.7,33.9
91,sugarcane,50,40,80,7.0,1002.7,34.8
92,sugarcane,50,40,80,7.0,1003.6,15.0
93,sugarcane,50,40,80,7.0,1003.6,15.9
94,sugarcane,50,40,80,7.0,1003.6,16.8
95,sugarcane,50,40,80,7.0,1003.6,17.7
96,sugarcane,50,40,80,7.0,1003.6,18.6
97,sugarcane,50,40,80,7.0,1003.6,19.5
98,sugarcane,50,40,80,7.0,1003.6,20.4
99,sugarcane,50,40,80,7.0,1003.6,21.3
100,sugarcane,50,40,80,7.0,1003.6,22.2
101,sugarcane,50,40,80,7.0,1003.6,23.1
102,sugarcane,50,40,80,7.0,1003.6,24.0
103,sugarcane,50,40,80,7.0,1003.6,24.9
104,sugarcane,50,40,80,7.0,1003.6,25.8
105,sugarcane,50,40,80,7.0,1003.6,26.7
106,sugarcane,50,40,80,7.0,1003.6,27.6
107,sugarcane,50,40,80,7.0,1003.6,28.5
108,sugarcane,50,40,80,7.0,1003.6,29.4
109,sugarcane,50,40,80,7.0,1003.6,30.3
110,sugarcane,50,40,80,7.0,1003.6,31.2
111,sugarcane,50,40,80,7.0,1003.6,32.1
112,sugarcane,50,40,80,7.0,1003.6,33.0
113,sugarcane,50,40,80,7.0,1003.6,33.9
114,sugarcane,50,40,80,7.0,1003.6,34.8
115,sugarcane,50,40,80,7.0,1004.5,15.0
116,sugarcane,50,40,80,7.0,1004.5,15.9
117,sugarcane,50,40,80,7.0,1004.5,16.8
118,sugarcane,50,40,80,7.0,1004.5,17.7
119,sugarcane,50,40,80,7.0,1004.5,18.6
120,sugarcane,50,40,80,7.0,1004.5,19.5
121,sugarcane,50,40,80,7.0,1004.5,20.4
122,sugarcane,50,40,80,7.0,1004.5,21.3
123,sugarcane,50,40,80,7.0,1004.5,22.2
124,sugarcane,50,40,80,7.0,1004.5,23.1
125,sugarcane,50,40,80,7.0,1004.5,24.0
126,sugarcane,50,40,80,7.0,1004.5,24.9
127,sugarcane,50,40,80,7.0,1004.5,25.8
128,sugarcane,50,40,80,7.0,1004.5,26.7
129,sugarcane,50,40,80,7.0,1004.5,27.6
130,sugarcane,50,40,80,7.0,1004.5,28.5
131,sugarcane,50,40,80,7.0,1004.5,29.4
132,sugarcane,50,40,80,7.0,1004.5,30.3
133,sugarcane,50,40,80,7.0,1004.5,31.2
134,sugarcane,50,40,80,7.0,1004.5,32.1
135,sugarcane,50,40,80,7.0,1004.5,33.0
136,sugarcane,50,40,80,7.0,1004.5,33.9
137,sugarcane,50,40,80,7.0,1004.5,34.8
138,sugarcane,50,40,80,7.0,1005.4,15.0
139,sugarcane,50,40,80,7.0,1005.4,15.9
140,sugarcane,50,40,80,7.0,1005.4,16.8
141,sugarcane,50,40,80,7.0,1005.4,17.7
142,sugarcane,50,40,80,7.0,1005.4,18.6
143,sugarcane,50,40,80,7.0,1005.4,19.5
144,sugarcane,50,40,80,7.0,1005.4,20.4
145,sugarcane,50,40,80,7.0,1005.4,21.3
146,sugarcane,50,40,80,7.0,1005.4,22.2
147,sugarcane,50,40,80,7.0,1005.4,23.1
148,sugarcane,50,40,80,7.0,1005.4,24.0
149,sugarcane,50,40,80,7.0,1005.4,24.9
