,Plant,N,P,K,pH,Rainfall,Temperature
0,bananas,250,10,100,6.0,1200.0,15.0
1,bananas,250,10,100,6.0,1200.0,15.9
2,bananas,250,10,100,6.0,1200.0,16.8
3,bananas,250,10,100,6.0,1200.0,17.7
4,bananas,250,10,100,6.0,1200.0,18.6
5,bananas,250,10,100,6.0,1200.0,19.5
6,bananas,250,10,100,6.0,1200.0,20.4
7,bananas,250,10,100,6.0,1200.0,21.3
8,bananas,250,10,100,6.0,1200.0,22.2
9,bananas,250,10,100,6.0,1200.0,23.1
10,bananas,250,10,100,6.0,1200.0,24.0
11,bananas,250,10,100,6.0,1200.0,24.9
12,bananas,250,10,100,6.0,1200.0,25.8
13,bananas,250,10,100,6.0,1200.0,26.7
14,bananas,250,10,100,6.0,1200.0,27.6
15,bananas,250,10,100,6.0,1200.0,28.5
16,bananas,250,10,100,6.0,1200.0,29.4
17,bananas,250,10,100,6.0,1200.0,30.3
18,bananas,250,10,100,6.0,1200.0,31.2
19,bananas,250,10,100,6.0,1200.0,32.1
20,bananas,250,10,100,6.0,1200.0,33.0
21,bananas,250,10,100,6.0,1200.0,33.9
22,bananas,250,10,100,6.0,1200.0,34.8
23,bananas,250,10,100,6.0,1200.0,35.7
24,bananas,250,10,100,6.0,1200.0,36.6
25,bananas,250,10,100,6.0,1200.0,37.5
26,bananas,250,10,100,6.0,1200.0,38.4
27,bananas,250,10,100,6.0,1200.0,39.3
28,bananas,250,10,100,6.9,1200.0,15.0
29,bananas,250,10,100,6.9,1200.0,15.9
30,bananas,250,10,100,6.9,1200.0,16.8
31,bananas,250,10,100,6.9,1200.0,17.7
32,bananas,250,10,100,6.9,1200.0,18.6
33,bananas,250,10,100,6.9,1200.0,19.5
34,bananas,250,10,100,6.9,1200.0,20.4
35,bananas,250,10,100,6.9,1200.0,21.3
36,bananas,250,10,100,6.9,1200.0,22.2
37,bananas,250,10,100,6.9,1200.0,23.1
38,bananas,250,10,100,6.9,1200.0,24.0
39,bananas,250,10,100,6.9,1200.0,24.9
40,bananas,250,10,100,6.9,1200.0,25.8
41,bananas,250,10,100,6.9,1200.0,26.7
42,bananas,250,10,100,6.9,1200.0,27.6
43,bananas,250,10,100,6.9,1200.0,28.5
44,bananas,250,10,100,6.9,1200.0,29.4
45,bananas,250,10,100,6.9,1200.0,30.3
46,bananas,250,10,100,6.9,1200.0,31.2
47,bananas,250,10,100,6.9,1200.0,32.1
48,bananas,250,10,100,6.9,1200.0,33.0
49,bananas,250,10,100,6.9,1200.0,33.9
50,bananas,250,10,100,6.9,1200.0,34.8
51,bananas,250,10,100,6.9,1200.0,35.7
52,bananas,250,10,100,6.9,1200.0,36.6
53,bananas,250,10,100,6.9,1200.0,37.5
54,bananas,250,10,100,6.9,1200.0,38.4
55,bananas,250,10,100,6.9,1200.0,39.3
56,bananas,250,10,100,6.0,1200.9,15.0
57,bananas,250,10,100,6.0,1200.9,15.9
58,bananas,250,10,100,6.0,1200.9,16.8
59,bananas,250,10,100,6.0,1200.9,17.7
60,bananas,250,10,100,6.0,1200.9,18.6
61,bananas,250,10,100,6.0,1200.9,19.5
62,bananas,250,10,100,6.0,1200.9,20.4
63,bananas,250,10,100,6.0,1200.9,21.3
64,bananas,250,10,100,6.0,1200.9,22.2
65,bananas,250,10,100,6.0,1200.9,23.1
66,bananas,250,10,100,6.0,1200.9,24.0
67,bananas,250,10,100,6.0,1200.9,24.9
68,bananas,250,10,100,6.0,1200.9,25.8
69,bananas,250,10,100,6.0,1200.9,26.7
70,bananas,250,10,100,6.0,1200.9,27.6
71,bananas,250,10,100,6.0,1200.9,28.5
72,bananas,250,10,100,6.0,1200.9,29.4
73,bananas,250,10,100,6.0,1200.9,30.3
74,bananas,250,10,100,6.0,1200.9,31.2
75,bananas,250,10,100,6.0,1200.9,32.1
76,bananas,250,10,100,6.0,1200.9,33.0
77,bananas,250,10,100,6.0,1200.9,33.9
78,bananas,250,10,100,6.0,1200.9,34.8
79,bananas,250,10,100,6.0,1200.9,35.7
80,bananas,250,10,100,6.0,1200.9,36.6
81,bananas,250,10,100,6.0,1200.9,37.5
82,bananas,250,10,100,6.0,1200.9,38.4
83,bananas,250,10,100,6.0,1200.9,39.3
84,bananas,250,10,100,6.9,1200.9,15.0
85,bananas,250,10,100,6.9,1200.9,15.9
86,bananas,250,10,100,6.9,1200.9,16.8
87,bananas,250,10,100,6.9,1200.9,17.7
88,bananas,250,10,100,6.9,1200.9,18.6
89,bananas,250,10,100,6.9,1200.9,19.5
90,bananas,250,10,100,6.9,1200.9,20.4
91,bananas,250,10,100,6.9,1200.9,21.3
92,bananas,250,10,100,6.9,1200.9,22.2
93,bananas,250,10,100,6.9,1200.9,23.1
94,bananas,250,10,100,6.9,1200.9,24.0
95,bananas,250,10,100,6.9,1200.9,24.9
96,bananas,250,10,100,6.9,1200.9,25.8
97,bananas,250,10,100,6.9,1200.9,26.7
98,bananas,250,10,100,6.9,1200.9,27.6
99,bananas,250,10,100,6.9,1200.9,28.5
100,bananas,250,10,100,6.9,1200.9,29.4
101,bananas,250,10,100,6.9,1200.9,30.3
102,bananas,250,10,100,6.9,1200.9,31.2
103,bananas,250,10,100,6.9,1200.9,32.1
104,bananas,250,10,100,6.9,1200.9,33.0
105,bananas,250,10,100,6.9,1200.9,33.9
106,bananas,250,10,100,6.9,1200.9,34.8
107,bananas,250,10,100,6.9,1200.9,35.7
108,bananas,250,10,100,6.9,1200.9,36.6
109,bananas,250,10,100,6.9,1200.9,37.5
110,bananas,250,10,100,6.9,1200.9,38.4
111,bananas,250,10,100,6.9,1200.9,39.3
112,bananas,250,10,100,6.0,1201.8,15.0
113,bananas,250,10,100,6.0,1201.8,15.9
114,bananas,250,10,100,6.0,1201.8,16.8
115,bananas,250,10,100,6.0,1201.8,17.7
116,bananas,250,10,100,6.0,1201.8,18.6
117,bananas,250,10,100,6.0,1201.8,19.5
118,bananas,250,10,100,6.0,1201.8,20.4
119,bananas,250,10,100,6.0,1201.8,21.3
120,bananas,250,10,100,6.0,1201.8,22.2
121,bananas,250,10,100,6.0,1201.8,23.1
122,bananas,250,10,100,6.0,1201.8,24.0
123,bananas,250,10,100,6.0,1201.8,24.9
124,bananas,250,10,100,6.0,1201.8,25.8
125,bananas,250,10,100,6.0,1201.8,26.7
126,bananas,250,10,100,6.0,1201.8,27.6
