,Plant,N,P,K,pH,Rainfall,Temperature
0,bean,10,4,10,5.0,400.0,15.0
1,bean,10,4,10,5.0,400.0,15.9
2,bean,10,4,10,5.0,400.0,16.8
3,bean,10,4,10,5.0,400.0,17.7
4,bean,10,4,10,5.0,400.0,18.6
5,bean,10,4,10,5.0,400.0,19.5
6,bean,10,4,10,5.0,400.0,20.4
7,bean,10,4,10,5.0,400.0,21.3
8,bean,10,4,10,5.0,400.0,22.2
9,bean,10,4,10,5.0,400.0,23.1
10,bean,10,4,10,5.0,400.0,24.0
11,bean,10,4,10,5.0,400.0,24.9
12,bean,10,4,10,5.0,400.0,25.8
13,bean,10,4,10,5.0,400.0,26.7
14,bean,10,4,10,5.0,400.0,27.6
15,bean,10,4,10,5.9,400.0,15.0
16,bean,10,4,10,5.9,400.0,15.9
17,bean,10,4,10,5.9,400.0,16.8
18,bean,10,4,10,5.9,400.0,17.7
19,bean,10,4,10,5.9,400.0,18.6
20,bean,10,4,10,5.9,400.0,19.5
21,bean,10,4,10,5.9,400.0,20.4
22,bean,10,4,10,5.9,400.0,21.3
23,bean,10,4,10,5.9,400.0,22.2
24,bean,10,4,10,5.9,400.0,23.1
25,bean,10,4,10,5.9,400.0,24.0
26,bean,10,4,10,5.9,400.0,24.9
27,bean,10,4,10,5.9,400.0,25.8
28,bean,10,4,10,5.9,400.0,26.7
29,bean,10,4,10,5.9,400.0,27.6
30,bean,10,4,10,5.0,400.9,15.0
31,bean,10,4,10,5.0,400.9,15.9
32,bean,10,4,10,5.0,400.9,16.8
33,bean,10,4,10,5.0,400.9,17.7
34,bean,10,4,10,5.0,400.9,18.6
35,bean,10,4,10,5.0,400.9,19.5
36,bean,10,4,10,5.0,400.9,20.4
37,bean,10,4,10,5.0,400.9,21.3
38,bean,10,4,10,5.0,400.9,22.2
39,bean,10,4,10,5.0,400.9,23.1
40,bean,10,4,10,5.0,400.9,24.0
41,bean,10,4,10,5.0,400.9,24.9
42,bean,10,4,10,5.0,400.9,25.8
43,bean,10,4,10,5.0,400.9,26.7
44,bean,10,4,10,5.0,400.9,27.6
45,bean,10,4,10,5.9,400.9,15.0
46,bean,10,4,10,5.9,400.9,15.9
47,bean,10,4,10,5.9,400.9,16.8
48,bean,10,4,10,5.9,400.9,17.7
49,bean,10,4,10,5.9,400.9,18.6
50,bean,10,4,10,5.9,400.9,19.5
51,bean,10,4,10,5.9,400.9,20.4
52,bean,10,4,10,5.9,400.9,21.3
53,bean,10,4,10,5.9,400.9,22.2
54,bean,10,4,10,5.9,400.9,23.1
55,bean,10,4,10,5.9,400.9,24.0
56,bean,10,4,10,5.9,400.9,24.9
57,bean,10,4,10,5.9,400.9,25.8
58,bean,10,4,10,5.9,400.9,26.7
59,bean,10,4,10,5.9,400.9,27.6
60,bean,10,4,10,5.0,401.8,15.0
61,bean,10,4,10,5.0,401.8,15.9
62,bean,10,4,10,5.0,401.8,16.8
63,bean,10,4,10,5.0,401.8,17.7
64,bean,10,4,10,5.0,401.8,18.6
65,bean,10,4,10,5.0,401.8,19.5
66,bean,10,4,10,5.0,401.8,20.4
67,bean,10,4,10,5.0,401.8,21.3
68,bean,10,4,10,5.0,401.8,22.2
69,bean,10,4,10,5.0,401.8,23.1
70,bean,10,4,10,5.0,401.8,24.0
71,bean,10,4,10,5.0,401.8,24.9
72,bean,10,4,10,5.0,401.8,25.8
73,bean,10,4,10,5.0,401.8,26.7
74,bean,10,4,10,5.0,401.8,27.6
75,bean,10,4,10,5.9,401.8,15.0
76,bean,10,4,10,5.9,401.8,15.9
77,bean,10,4,10,5.9,401.8,16.8
78,bean,10,4,10,5.9,401.8,17.7
79,bean,10,4,10,5.9,401.8,18.6
80,bean,10,4,10,5.9,401.8,19.5
81,bean,10,4,10,5.9,401.8,20.4
82,bean,10,4,10,5.9,401.8,21.3
83,bean,10,4,10,5.9,401.8,22.2
84,bean,10,4,10,5.9,401.8,23.1
85,bean,10,4,10,5.9,401.8,24.0
86,bean,10,4,10,5.9,401.8,24.9
87,bean,10,4,10,5.9,401.8,25.8
88,bean,10,4,10,5.9,401.8,26.7
89,bean,10,4,10,5.9,401.8,27.6
90,bean,10,4,10,5.0,402.7,15.0
91,bean,10,4,10,5.0,402.7,15.9
92,bean,10,4,10,5.0,402.7,16.8
93,bean,10,4,10,5.0,402.7,17.7
94,bean,10,4,10,5.0,402.7,18.6
95,bean,10,4,10,5.0,402.7,19.5
96,bean,10,4,10,5.0,402.7,20.4
97,bean,10,4,10,5.0,402.7,21.3
98,bean,10,4,10,5.0,402.7,22.2
99,bean,10,4,10,5.0,402.7,23.1
100,bean,10,4,10,5.0,402.7,24.0
101,bean,10,4,10,5.0,402.7,24.9
102,bean,10,4,10,5.0,402.7,25.8
103,bean,10,4,10,5.0,402.7,26.7
104,bean,10,4,10,5.0,402.7,27.6
105,bean,10,4,10,5.9,402.7,15.0
106,bean,10,4,10,5.9,402.7,15.9
107,bean,10,4,10,5.9,402.7,16.8
108,bean,10,4,10,5.9,402.7,17.7
109,bean,10,4,10,5.9,402.7,18.6
110,bean,10,4,10,5.9,402.7,19.5
111,bean,10,4,10,5.9,402.7,20.4
112,bean,10,4,10,5.9,402.7,21.3
113,bean,10,4,10,5.9,402.7,22.2
114,bean,10,4,10,5.9,402.7,23.1
115,bean,10,4,10,5.9,402.7,24.0
116,bean,10,4,10,5.9,402.7,24.9
117,bean,10,4,10,5.9,402.7,25.8
118,bean,10,4,10,5.9,402.7,26.7
119,bean,10,4,10,5.9,402.7,27.6
120,bean,10,4,10,5.0,403.6,15.0
121,bean,10,4,10,5.0,403.6,15.9
122,bean,10,4,10,5.0,403.6,16.8
123,bean,10,4,10,5.0,403.6,17.7
124,bean,10,4,10,5.0,403.6,18.6
125,bean,10,4,10,5.0,403.6,19.5
126,bean,10,4,10,5.0,403.6,20.4
127,bean,10,4,10,5.0,403.6,21.3
128,bean,10,4,10,5.0,403.6,22.2
129,bean,10,4,10,5.0,403.6,23.1
130,bean,10,4,10,5.0,403.6,24.0
131,bean,10,4,10,5.0,403.6,24.9
