,Plant,N,P,K,pH,Rainfall,Temperature
0,chilli-pepper,130,50,250,6.5,800.0,18.0
1,chilli-pepper,130,50,250,6.5,800.0,18.9
2,chilli-pepper,130,50,250,6.5,800.0,19.8
3,chilli-pepper,130,50,250,6.5,800.0,20.7
4,chilli-pepper,130,50,250,6.5,800.0,21.6
5,chilli-pepper,130,50,250,6.5,800.0,22.5
6,chilli-pepper,130,50,250,6.5,800.0,23.4
7,chilli-pepper,130,50,250,6.5,800.0,24.3
8,chilli-pepper,130,50,250,6.5,800.0,25.2
9,chilli-pepper,130,50,250,6.5,800.0,26.1
10,chilli-pepper,130,50,250,6.5,800.0,27.0
11,chilli-pepper,130,50,250,6.5,800.0,27.9
12,chilli-pepper,130,50,250,6.5,800.0,28.8
13,chilli-pepper,130,50,250,6.5,800.0,29.7
14,chilli-pepper,130,50,250,6.5,800.9,18.0
15,chilli-pepper,130,50,250,6.5,800.9,18.9
16,chilli-pepper,130,50,250,6.5,800.9,19.8
17,chilli-pepper,130,50,250,6.5,800.9,20.7
18,chilli-pepper,130,50,250,6.5,800.9,21.6
19,chilli-pepper,130,50,250,6.5,800.9,22.5
20,chilli-pepper,130,50,250,6.5,800.9,23.4
21,chilli-pepper,130,50,250,6.5,800.9,24.3
22,chilli-pepper,130,50,250,6.5,800.9,25.2
23,chilli-pepper,130,50,250,6.5,800.9,26.1
24,chilli-pepper,130,50,250,6.5,800.9,27.0
25,chilli-pepper,130,50,250,6.5,800.9,27.9
26,chilli-pepper,130,50,250,6.5,800.9,28.8
27,chilli-pepper,130,50,250,6.5,800.9,29.7
28,chilli-pepper,130,50,250,6.5,801.8,18.0
29,chilli-pepper,130,50,250,6.5,801.8,18.9
30,chilli-pepper,130,50,250,6.5,801.8,19.8
31,chilli-pepper,130,50,250,6.5,801.8,20.7
32,chilli-pepper,130,50,250,6.5,801.8,21.6
33,chilli-pepper,130,50,250,6.5,801.8,22.5
34,chilli-pepper,130,50,250,6.5,801.8,23.4
35,chilli-pepper,130,50,250,6.5,801.8,24.3
36,chilli-pepper,130,50,250,6.5,801.8,25.2
37,chilli-pepper,130,50,250,6.5,801.8,26.1
38,chilli-pepper,130,50,250,6.5,801.8,27.0
39,chilli-pepper,130,50,250,6.5,801.8,27.9
40,chilli-pepper,130,50,250,6.5,801.8,28.8
41,chilli-pepper,130,50,250,6.5,801.8,29.7
42,chilli-pepper,130,50,250,6.5,802.7,18.0
43,chilli-pepper,130,50,250,6.5,802.7,18.9
44,chilli-pepper,130,50,250,6.5,802.7,19.8
45,chilli-pepper,130,50,250,6.5,802.7,20.7
46,chilli-pepper,130,50,250,6.5,802.7,21.6
47,chilli-pepper,130,50,250,6.5,802.7,22.5
48,chilli-pepper,130,50,250,6.5,802.7,23.4
49,chilli-pepper,130,50,250,6.5,802.7,24.3
50,chilli-pepper,130,50,250,6.5,802.7,25.2
51,chilli-pepper,130,50,250,6.5,802.7,26.1
52,chilli-pepper,130,50,250,6.5,802.7,27.0
53,chilli-pepper,130,50,250,6.5,802.7,27.9
54,chilli-pepper,130,50,250,6.5,802.7,28.8
55,chilli-pepper,130,50,250,6.5,802.7,29.7
56,chilli-pepper,130,50,250,6.5,803.6,18.0
57,chilli-pepper,130,50,250,6.5,803.6,18.9
58,chilli-pepper,130,50,250,6.5,803.6,19.8
59,chilli-pepper,130,50,250,6.5,803.6,20.7
60,chilli-pepper,130,50,250,6.5,803.6,21.6
61,chilli-pepper,130,50,250,6.5,803.6,22.5
62,chilli-pepper,130,50,250,6.5,803.6,23.4
63,chilli-pepper,130,50,250,6.5,803.6,24.3
64,chilli-pepper,130,50,250,6.5,803.6,25.2
65,chilli-pepper,130,50,250,6.5,803.6,26.1
66,chilli-pepper,130,50,250,6.5,803.6,27.0
67,chilli-pepper,130,50,250,6.5,803.6,27.9
68,chilli-pepper,130,50,250,6.5,803.6,28.8
69,chilli-pepper,130,50,250,6.5,803.6,29.7
70,chilli-pepper,130,50,250,6.5,804.5,18.0
71,chilli-pepper,130,50,250,6.5,804.5,18.9
72,chilli-pepper,130,50,250,6.5,804.5,19.8
73,chilli-pepper,130,50,250,6.5,804.5,20.7
74,chilli-pepper,130,50,250,6.5,804.5,21.6
75,chilli-pepper,130,50,250,6.5,804.5,22.5
76,chilli-pepper,130,50,250,6.5,804.5,23.4
77,chilli-pepper,130,50,250,6.5,804.5,24.3
78,chilli-pepper,130,50,250,6.5,804.5,25.2
79,chilli-pepper,130,50,250,6.5,804.5,26.1
80,chilli-pepper,130,50,250,6.5,804.5,27.0
81,chilli-pepper,130,50,250,6.5,804.5,27.9
82,chilli-pepper,130,50,250,6.5,804.5,28.8
83,chilli-pepper,130,50,250,6.5,804.5,29.7
84,chilli-pepper,130,50,250,6.5,805.4,18.0
85,chilli-pepper,130,50,250,6.5,805.4,18.9
86,chilli-pepper,130,50,250,6.5,805.4,19.8
87,chilli-pepper,130,50,250,6.5,805.4,20.7
88,chilli-pepper,130,50,250,6.5,805.4,21.6
89,chilli-pepper,130,50,250,6.5,805.4,22.5
90,chilli-pepper,130,50,250,6.5,805.4,23.4
91,chilli-pepper,130,50,250,6.5,805.4,24.3
92,chilli-pepper,130,50,250,6.5,805.4,25.2
93,chilli-pepper,130,50,250,6.5,805.4,26.1
94,chilli-pepper,130,50,250,6.5,805.4,27.0
95,chilli-pepper,130,50,250,6.5,805.4,27.9
96,chilli-pepper,130,50,250,6.5,805.4,28.8
97,chilli-pepper,130,50,250,6.5,805.4,29.7
98,chilli-pepper,130,50,250,6.5,806.3,18.0
99,chilli-pepper,130,50,250,6.5,806.3,18.9
100,chilli-pepper,130,50,250,6.5,806.3,19.8
101,chilli-pepper,130,50,250,6.5,806.3,20.7
102,chilli-pepper,130,50,250,6.5,806.3,21.6
103,chilli-pepper,130,50,250,6.5,806.3,22.5
104,chilli-pepper,130,50,250,6.5,806.3,23.4
105,chilli-pepper,130,50,250,6.5,806.3,24.3
106,chilli-pepper,130,50,250,6.5,806.3,25.2
107,chilli-pepper,130,50,250,6.5,806.3,26.1
108,chilli-pepper,130,50,250,6.5,806.3,27.0
109,chilli-pepper,130,50,250,6.5,806.3,27.9
110,chilli-pepper,130,50,250,6.5,806.3,28.8
111,chilli-pepper,130,50,250,6.5,806.3,29.7
112,chilli-pepper,130,50,250,6.5,807.2,18.0
113,chilli-pepper,130,50,250,6.5,807.2,18.9
114,chilli-pepper,130,50,250,6.5,807.2,19.8
115,chilli-pepper,130,50,250,6.5,807.2,20.7
116,chilli-pepper,130,50,250,6.5,807.2,21.6
117,chilli-pepper,130,50,250,6.5,807.2,22.5
118,chilli-pepper,130,50,250,6.5,807.2,23.4
119,chilli-pepper,130,50,250,6.5,807.2,24.3
120,chilli-pepper,130,50,250,6.5,807.2,25.2
121,chilli-pepper,130,50,250,6.5,807.2,26.1
122,chilli-pepper,130,50,250,6.5,807.2,27.0
123,chilli-pepper,130,50,250,6.5,807.2,27.9
124,chilli-pepper,130,50,250,6.5,807.2,28.8
125,chilli-pepper,130,50,250,6.5,807.2,29.7
126,chilli-pepper,130,50,250,6.5,808.1,18.0
127,chilli-pepper,130,50,250,6.5,808.1,18.9
128,chilli-pepper,130,50,250,6.5,808.1,19.8
129,chilli-pepper,130,50,250,6.5,808.1,20.7
130,chilli-pepper,130,50,250,6.5,808.1,21.6
131,chilli-pepper,130,50,250,6.5,808.1,22.5
132,chilli-pepper,130,50,250,6.5,808.1,23.4
133,chilli-pepper,130,50,250,6.5,808.1,24.3
134,chilli-pepper,130,50,250,6.5,808.1,25.2
135,chilli-pepper,130,50,250,6.5,808.1,26.1
136,chilli-pepper,130,50,250,6.5,808.1,27.0
137,chilli-pepper,130,50,250,6.5,808.1,27.9
138,chilli-pepper,130,50,250,6.5,808.1,28.8
139,chilli-pepper,130,50,250,6.5,808.1,29.7
140,chilli-pepper,130,50,250,6.5,809.0,18.0
141,chilli-pepper,130,50,250,6.5,809.0,18.9
142,chilli-pepper,130,50,250,6.5,809.0,19.8
143,chilli-pepper,130,50,250,6.5,809.0,20.7
144,chilli-pepper,130,50,250,6.5,809.0,21.6
145,chilli-pepper,130,50,250,6.5,809.0,22.5
146,chilli-pepper,130,50,250,6.5,809.0,23.4
147,chilli-pepper,130,50,250,6.5,809.0,24.3
148,chilli-pepper,130,50,250,6.5,809.0,25.2
149,chilli-pepper,130,50,250,6.5,809.0,26.1
150,chilli-pepper,130,50,250,6.5,809.0,27.0
151,chilli-pepper,130,50,250,6.5,809.0,27.9
152,chilli-pepper,130,50,250,6.5,809.0,28.8
153,chilli-pepper,130,50,250,6.5,809.0,29.7
154,chilli-pepper,130,50,250,6.5,809.9,18.0
155,chilli-pepper,130,50,250,6.5,809.9,18.9
156,chilli-pepper,130,50,250,6.5,809.9,19.8
157,chilli-pepper,130,50,250,6.5,809.9,20.7
158,chilli-pepper,130,50,250,6.5,809.9,21.6
159,chilli-pepper,130,50,250,6.5,809.9,22.5
160,chilli-pepper,130,50,250,6.5,809.9,23.4
161,chilli-pepper,130,50,250,6.5,809.9,24.3
162,chilli-pepper,130,50,250,6.5,809.9,25.2
163,chilli-pepper,130,50,250,6.5,809.9,26.1
164,chilli-pepper,130,50,250,6.5,809.9,27.0
165,chilli-pepper,130,50,250,6.5,809.9,27.9
166,chilli-pepper,130,50,250,6.5,809.9,28.8
167,chilli-pepper,130,50,250,6.5,809.9,29.7
168,chilli-pepper,130,50,250,6.5,810.8,18.0
169,chilli-pepper,130,50,250,6.5,810.8,18.9
170,chilli-pepper,130,50,250,6.5,810.8,19.8
171,chilli-pepper,130,50,250,6.5,810.8,20.7
172,chilli-pepper,130,50,250,6.5,810.8,21.6
173,chilli-pepper,130,50,250,6.5,810.8,22.5
174,chilli-pepper,130,50,250,6.5,810.8,23.4
175,chilli-pepper,130,50,250,6.5,810.8,24.3
176,chilli-pepper,130,50,250,6.5,810.8,25.2
177,chilli-pepper,130,50,250,6.5,810.8,26.1
178,chilli-pepper,130,50,250,6.5,810.8,27.0
179,chilli-pepper,130,50,250,6.5,810.8,27.9
180,chilli-pepper,130,50,250,6.5,810.8,28.8
181,chilli-pepper,130,50,250,6.5,810.8,29.7
182,chilli-pepper,130,50,250,6.5,811.7,18.0
183,chilli-pepper,130,50,250,6.5,811.7,18.9
184,chilli-pepper,130,50,250,6.5,811.7,19.8
185,chilli-pepper,130,50,250,6.5,811.7,20.7
186,chilli-pepper,130,50,250,6.5,811.7,21.6
187,chilli-pepper,130,50,250,6.5,811.7,22.5
188,chilli-pepper,130,50,250,6.5,811.7,23.4
189,chilli-pepper,130,50,250,6.5,811.7,24.3
190,chilli-pepper,130,50,250,6.5,811.7,25.2
191,chilli-pepper,130,50,250,6.5,811.7,26.1
192,chilli-pepper,130,50,250,6.5,811.7,27.0
193,chilli-pepper,130,50,250,6.5,811.7,27.9
194,chilli-pepper,130,50,250,6.5,811.7,28.8
195,chilli-pepper,130,50,250,6.5,811.7,29.7
196,chilli-pepper,130,50,250,6.5,812.6,18.0
197,chilli-pepper,130,50,250,6.5,812.6,18.9
198,chilli-pepper,130,50,250,6.5,812.6,19.8
199,chilli-pepper,130,50,250,6.5,812.6,20.7
200,chilli-pepper,130,50,250,6.5,812.6,21.6
201,chilli-pepper,130,50,250,6.5,812.6,22.5
202,chilli-pepper,130,50,250,6.5,812.6,23.4
203,chilli-pepper,130,50,250,6.5,812.6,24.3
204,chilli-pepper,130,50,250,6.5,812.6,25.2
205,chilli-pepper,130,50,250,6.5,812.6,26.1
206,chilli-pepper,130,50,250,6.5,812.6,27.0
207,chilli-pepper,130,50,250,6.5,812.6,27.9
208,chilli-pepper,130,50,250,6.5,812.6,28.8
209,chilli-pepper,130,50,250,6.5,812.6,29.7
210,chilli-pepper,130,50,250,6.5,813.5,18.0
211,chilli-pepper,130,50,250,6.5,813.5,18.9
212,chilli-pepper,130,50,250,6.5,813.5,19.8
213,chilli-pepper,130,50,250,6.5,813.5,20.7
214,chilli-pepper,130,50,250,6.5,813.5,21.6
215,chilli-pepper,130,50,250,6.5,813.5,22.5
216,chilli-pepper,130,50,250,6.5,813.5,23.4
217,chilli-pepper,130,50,250,6.5,813.5,24.3
218,chilli-pepper,130,50,250,6.5,813.5,25.2
219,chilli-pepper,130,50,250,6.5,813.5,26.1
220,chilli-pepper,130,50,250,6.5,813.5,27.0
221,chilli-pepper,130,50,250,6.5,813.5,27.9
222,chilli-pepper,130,50,250,6.5,813.5,28.8
223,chilli-pepper,130,50,250,6.5,813.5,29.7
224,chilli-pepper,130,50,250,6.5,814.4,18.0
225,chilli-pepper,130,50,250,6.5,814.4,18.9
226,chilli-pepper,130,50,250,6.5,814.4,19.8
227,chilli-pepper,130,50,250,6.5,814.4,20.7
228,chilli-pepper,130,50,250,6.5,814.4,21.6
229,chilli-pepper,130,50,250,6.5,814.4,22.5
230,chilli-pepper,130,50,250,6.5,814.4,23.4
231,chilli-pepper,130,50,250,6.5,814.4,24.3
232,chilli-pepper,130,50,250,6.5,814.4,25.2
233,chilli-pepper,130,50,250,6.5,814.4,26.1
234,chilli-pepper,130,50,250,6.5,814.4,27.0
235,chilli-pepper,130,50,250,6.5,814.4,27.9
236,chilli-pepper,130,50,250,6.5,814.4,28.8
237,chilli-pepper,130,50,250,6.5,814.4,29.7
238,chilli-pepper,130,50,250,6.5,815.3,18.0
239,chilli-pepper,130,50,250,6.5,815.3,18.9
240,chilli-pepper,130,50,250,6.5,815.3,19.8
241,chilli-pepper,130,50,250,6.5,815.3,20.7
242,chilli-pepper,130,50,250,6.5,815.3,21.6
243,chilli-pepper,130,50,250,6.5,815.3,22.5
244,chilli-pepper,130,50,250,6.5,815.3,23.4
245,chilli-pepper,130,50,250,6.5,815.3,24.3
246,chilli-pepper,130,50,250,6.5,815.3,25.2
247,chilli-pepper,130,50,250,6.5,815.3,26.1
248,chilli-pepper,130,50,250,6.5,815.3,27.0
249,chilli-pepper,130,50,250,6.5,815.3,27.9
250,chilli-pepper,130,50,250,6.5,815.3,28.8
251,chilli-pepper,130,50,250,6.5,815.3,29.7
252,chilli-pepper,130,50,250,6.5,816.2,18.0
253,chilli-pepper,130,50,250,6.5,816.2,18.9
254,chilli-pepper,130,50,250,6.5,816.2,19.8
255,chilli-pepper,130,50,250,6.5,816.2,20.7
256,chilli-pepper,130,50,250,6.5,816.2,21.6
257,chilli-pepper,130,50,250,6.5,816.2,22.5
258,chilli-pepper,130,50,250,6.5,816.2,23.4
259,chilli-pepper,130,50,250,6.5,816.2,24.3
260,chilli-pepper,130,50,250,6.5,816.2,25.2
