,Plant,N,P,K,pH,Rainfall,Temperature
0,coffee,55,11,30,4.0,1000.0,24.0
1,coffee,55,11,30,4.0,1000.0,24.9
2,coffee,55,11,30,4.0,1000.0,25.8
3,coffee,55,11,30,4.0,1000.0,26.7
4,coffee,55,11,30,4.0,1000.0,27.6
5,coffee,55,11,30,4.0,1000.0,28.5
6,coffee,55,11,30,4.0,1000.0,29.4
7,coffee,55,11,30,4.0,1000.0,30.3
8,coffee,55,11,30,4.0,1000.0,31.2
9,coffee,55,11,30,4.0,1000.0,32.1
10,coffee,55,11,30,4.0,1000.0,33.0
11,coffee,55,11,30,4.0,1000.0,33.9
12,coffee,55,11,30,4.0,1000.0,34.8
13,coffee,55,11,30,4.9,1000.0,24.0
14,coffee,55,11,30,4.9,1000.0,24.9
15,coffee,55,11,30,4.9,1000.0,25.8
16,coffee,55,11,30,4.9,1000.0,26.7
17,coffee,55,11,30,4.9,1000.0,27.6
18,coffee,55,11,30,4.9,1000.0,28.5
19,coffee,55,11,30,4.9,1000.0,29.4
20,coffee,55,11,30,4.9,1000.0,30.3
21,coffee,55,11,30,4.9,1000.0,31.2
22,coffee,55,11,30,4.9,1000.0,32.1
23,coffee,55,11,30,4.9,1000.0,33.0
24,coffee,55,11,30,4.9,1000.0,33.9
25,coffee,55,11,30,4.9,1000.0,34.8
26,coffee,55,11,30,5.8,1000.0,24.0
27,coffee,55,11,30,5.8,1000.0,24.9
28,coffee,55,11,30,5.8,1000.0,25.8
29,coffee,55,11,30,5.8,1000.0,26.7
30,coffee,55,11,30,5.8,1000.0,27.6
31,coffee,55,11,30,5.8,1000.0,28.5
32,coffee,55,11,30,5.8,1000.0,29.4
33,coffee,55,11,30,5.8,1000.0,30.3
34,coffee,55,11,30,5.8,1000.0,31.2
35,coffee,55,11,30,5.8,1000.0,32.1
36,coffee,55,11,30,5.8,1000.0,33.0
37,coffee,55,11,30,5.8,1000.0,33.9
38,coffee,55,11,30,5.8,1000.0,34.8
39,coffee,55,11,30,4.0,1000.9,24.0
40,coffee,55,11,30,4.0,1000.9,24.9
41,coffee,55,11,30,4.0,1000.9,25.8
42,coffee,55,11,30,4.0,1000.9,26.7
43,coffee,55,11,30,4.0,1000.9,27.6
44,coffee,55,11,30,4.0,1000.9,28.5
45,coffee,55,11,30,4.0,1000.9,29.4
46,coffee,55,11,30,4.0,1000.9,30.3
47,coffee,55,11,30,4.0,1000.9,31.2
48,coffee,55,11,30,4.0,1000.9,32.1
49,coffee,55,11,30,4.0,1000.9,33.0
50,coffee,55,11,30,4.0,1000.9,33.9
51,coffee,55,11,30,4.0,1000.9,34.8
52,coffee,55,11,30,4.9,1000.9,24.0
53,coffee,55,11,30,4.9,1000.9,24.9
54,coffee,55,11,30,4.9,1000.9,25.8
55,coffee,55,11,30,4.9,1000.9,26.7
56,coffee,55,11,30,4.9,1000.9,27.6
57,coffee,55,11,30,4.9,1000.9,28.5
58,coffee,55,11,30,4.9,1000.9,29.4
59,coffee,55,11,30,4.9,1000.9,30.3
60,coffee,55,11,30,4.9,1000.9,31.2
61,coffee,55,11,30,4.9,1000.9,32.1
62,coffee,55,11,30,4.9,1000.9,33.0
63,coffee,55,11,30,4.9,1000.9,33.9
64,coffee,55,11,30,4.9,1000.9,34.8
65,coffee,55,11,30,5.8,1000.9,24.0
66,coffee,55,11,30,5.8,1000.9,24.9
67,coffee,55,11,30,5.8,1000.9,25.8
68,coffee,55,11,30,5.8,1000.9,26.7
69,coffee,55,11,30,5.8,1000.9,27.6
70,coffee,55,11,30,5.8,1000.9,28.5
71,coffee,55,11,30,5.8,1000.9,29.4
72,coffee,55,11,30,5.8,1000.9,30.3
73,coffee,55,11,30,5.8,1000.9,31.2
74,coffee,55,11,30,5.8,1000.9,32.1
75,coffee,55,11,30,5.8,1000.9,33.0
76,coffee,55,11,30,5.8,1000.9,33.9
77,coffee,55,11,30,5.8,1000.9,34.8
78,coffee,55,11,30,4.0,1001.8,24.0
79,coffee,55,11,30,4.0,1001.8,24.9
80,coffee,55,11,30,4.0,1001.8,25.8
81,coffee,55,11,30,4.0,1001.8,26.7
82,coffee,55,11,30,4.0,1001.8,27.6
83,coffee,55,11,30,4.0,1001.8,28.5
84,coffee,55,11,30,4.0,1001.8,29.4
85,coffee,55,11,30,4.0,1001.8,30.3
86,coffee,55,11,30,4.0,1001.8,31.2
87,coffee,55,11,30,4.0,1001.8,32.1
88,coffee,55,11,30,4.0,1001.8,33.0
89,coffee,55,11,30,4.0,1001.8,33.9
90,coffee,55,11,30,4.0,1001.8,34.8
91,coffee,55,11,30,4.9,1001.8,24.0
92,coffee,55,11,30,4.9,1001.8,24.9
93,coffee,55,11,30,4.9,1001.8,25.8
94,coffee,55,11,30,4.9,1001.8,26.7
95,coffee,55,11,30,4.9,1001.8,27.6
