,Plant,N,P,K,pH,Rainfall,Temperature
0,onion,80,40,40,6.5,600.0,10.0
1,onion,80,40,40,6.5,600.0,10.9
2,onion,80,40,40,6.5,600.0,11.8
3,onion,80,40,40,6.5,600.0,12.7
4,onion,80,40,40,6.5,600.0,13.6
5,onion,80,40,40,6.5,600.0,14.5
6,onion,80,40,40,6.5,600.0,15.4
7,onion,80,40,40,6.5,600.0,16.3
8,onion,80,40,40,6.5,600.0,17.2
9,onion,80,40,40,6.5,600.0,18.1
10,onion,80,40,40,6.5,600.0,19.0
11,onion,80,40,40,6.5,600.0,19.9
12,onion,80,40,40,6.5,600.0,20.8
13,onion,80,40,40,6.5,600.0,21.7
14,onion,80,40,40,6.5,600.0,22.6
15,onion,80,40,40,6.5,600.0,23.5
16,onion,80,40,40,6.5,600.0,24.4
17,onion,80,40,40,6.5,600.0,25.3
18,onion,80,40,40,6.5,600.0,26.2
19,onion,80,40,40,6.5,600.0,27.1
20,onion,80,40,40,6.5,600.0,28.0
21,onion,80,40,40,6.5,600.0,28.9
22,onion,80,40,40,6.5,600.0,29.8
23,onion,80,40,40,6.5,600.0,30.7
24,onion,80,40,40,6.5,600.0,31.6
25,onion,80,40,40,6.5,600.0,32.5
26,onion,80,40,40,6.5,600.0,33.4
27,onion,80,40,40,6.5,600.0,34.3
28,onion,80,40,40,6.5,600.0,35.2
29,onion,80,40,40,6.5,600.0,36.1
30,onion,80,40,40,7.4,600.0,10.0
31,onion,80,40,40,7.4,600.0,10.9
32,onion,80,40,40,7.4,600.0,11.8
33,onion,80,40,40,7.4,600.0,12.7
34,onion,80,40,40,7.4,600.0,13.6
35,onion,80,40,40,7.4,600.0,14.5
36,onion,80,40,40,7.4,600.0,15.4
37,onion,80,40,40,7.4,600.0,16.3
38,onion,80,40,40,7.4,600.0,17.2
39,onion,80,40,40,7.4,600.0,18.1
40,onion,80,40,40,7.4,600.0,19.0
41,onion,80,40,40,7.4,600.0,19.9
42,onion,80,40,40,7.4,600.0,20.8
43,onion,80,40,40,7.4,600.0,21.7
44,onion,80,40,40,7.4,600.0,22.6
45,onion,80,40,40,7.4,600.0,23.5
46,onion,80,40,40,7.4,600.0,24.4
47,onion,80,40,40,7.4,600.0,25.3
48,onion,80,40,40,7.4,600.0,26.2
49,onion,80,40,40,7.4,600.0,27.1
50,onion,80,40,40,7.4,600.0,28.0
51,onion,80,40,40,7.4,600.0,28.9
52,onion,80,40,40,7.4,600.0,29.8
53,onion,80,40,40,7.4,600.0,30.7
54,onion,80,40,40,7.4,600.0,31.6
55,onion,80,40,40,7.4,600.0,32.5
56,onion,80,40,40,7.4,600.0,33.4
57,onion,80,40,40,7.4,600.0,34.3
58,onion,80,40,40,7.4,600.0,35.2
59,onion,80,40,40,7.4,600.0,36.1
60,onion,80,40,40,6.5,600.9,10.0
61,onion,80,40,40,6.5,600.9,10.9
62,onion,80,40,40,6.5,600.9,11.8
63,onion,80,40,40,6.5,600.9,12.7
64,onion,80,40,40,6.5,600.9,13.6
65,onion,80,40,40,6.5,600.9,14.5
66,onion,80,40,40,6.5,600.9,15.4
67,onion,80,40,40,6.5,600.9,16.3
68,onion,80,40,40,6.5,600.9,17.2
69,onion,80,40,40,6.5,600.9,18.1
70,onion,80,40,40,6.5,600.9,19.0
71,onion,80,40,40,6.5,600.9,19.9
72,onion,80,40,40,6.5,600.9,20.8
73,onion,80,40,40,6.5,600.9,21.7
74,onion,80,40,40,6.5,600.9,22.6
75,onion,80,40,40,6.5,600.9,23.5
76,onion,80,40,40,6.5,600.9,24.4
77,onion,80,40,40,6.5,600.9,25.3
78,onion,80,40,40,6.5,600.9,26.2
79,onion,80,40,40,6.5,600.9,27.1
80,onion,80,40,40,6.5,600.9,28.0
81,onion,80,40,40,6.5,600.9,28.9
82,onion,80,40,40,6.5,600.9,29.8
83,onion,80,40,40,6.5,600.9,30.7
84,onion,80,40,40,6.5,600.9,31.6
85,onion,80,40,40,6.5,600.9,32.5
86,onion,80,40,40,6.5,600.9,33.4
87,onion,80,40,40,6.5,600.9,34.3
88,onion,80,40,40,6.5,600.9,35.2
89,onion,80,40,40,6.5,600.9,36.1
90,onion,80,40,40,7.4,600.9,10.0
91,onion,80,40,40,7.4,600.9,10.9
92,onion,80,40,40,7.4,600.9,11.8
93,onion,80,40,40,7.4,600.9,12.7
94,onion,80,40,40,7.4,600.9,13.6
95,onion,80,40,40,7.4,600.9,14.5
96,onion,80,40,40,7.4,600.9,15.4
97,onion,80,40,40,7.4,600.9,16.3
98,onion,80,40,40,7.4,600.9,17.2
99,onion,80,40,40,7.4,600.9,18.1
100,onion,80,40,40,7.4,600.9,19.0
101,onion,80,40,40,7.4,600.9,19.9
102,onion,80,40,40,7.4,600.9,20.8
103,onion,80,40,40,7.4,600.9,21.7
104,onion,80,40,40,7.4,600.9,22.6
105,onion,80,40,40,7.4,600.9,23.5
106,onion,80,40,40,7.4,600.9,24.4
107,onion,80,40,40,7.4,600.9,25.3
108,onion,80,40,40,7.4,600.9,26.2
109,onion,80,40,40,7.4,600.9,27.1
110,onion,80,40,40,7.4,600.9,28.0
111,onion,80,40,40,7.4,600.9,28.9
112,onion,80,40,40,7.4,600.9,29.8
113,onion,80,40,40,7.4,600.9,30.7
114,onion,80,40,40,7.4,600.9,31.6
115,onion,80,40,40,7.4,600.9,32.5
116,onion,80,40,40,7.4,600.9,33.4
117,onion,80,40,40,7.4,600.9,34.3
118,onion,80,40,40,7.4,600.9,35.2
119,onion,80,40,40,7.4,600.9,36.1
120,onion,80,40,40,6.5,601.8,10.0
121,onion,80,40,40,6.5,601.8,10.9
122,onion,80,40,40,6.5,601.8,11.8
123,onion,80,40,40,6.5,601.8,12.7
124,onion,80,40,40,6.5,601.8,13.6
125,onion,80,40,40,6.5,601.8,14.5
126,onion,80,40,40,6.5,601.8,15.4
127,onion,80,40,40,6.5,601.8,16.3
128,onion,80,40,40,6.5,601.8,17.2
129,onion,80,40,40,6.5,601.8,18.1
130,onion,80,40,40,6.5,601.8,19.0
131,onion,80,40,40,6.5,601.8,19.9
132,onion,80,40,40,6.5,601.8,20.8
133,onion,80,40,40,6.5,601.8,21.7
134,onion,80,40,40,6.5,601.8,22.6
135,onion,80,40,40,6.5,601.8,23.5
136,onion,80,40,40,6.5,601.8,24.4
137,onion,80,40,40,6.5,601.8,25.3
138,onion,80,40,40,6.5,601.8,26.2
139,onion,80,40,40,6.5,601.8,27.1
140,onion,80,40,40,6.5,601.8,28.0
141,onion,80,40,40,6.5,601.8,28.9
142,onion,80,40,40,6.5,601.8,29.8
143,onion,80,40,40,6.5,601.8,30.7
144,onion,80,40,40,6.5,601.8,31.6
145,onion,80,40,40,6.5,601.8,32.5
146,onion,80,40,40,6.5,601.8,33.4
147,onion,80,40,40,6.5,601.8,34.3
148,onion,80,40,40,6.5,601.8,35.2
149,onion,80,40,40,6.5,601.8,36.1
150,onion,80,40,40,7.4,601.8,10.0
151,onion,80,40,40,7.4,601.8,10.9
152,onion,80,40,40,7.4,601.8,11.8
153,onion,80,40,40,7.4,601.8,12.7
154,onion,80,40,40,7.4,601.8,13.6
155,onion,80,40,40,7.4,601.8,14.5
156,onion,80,40,40,7.4,601.8,15.4
157,onion,80,40,40,7.4,601.8,16.3
158,onion,80,40,40,7.4,601.8,17.2
159,onion,80,40,40,7.4,601.8,18.1
160,onion,80,40,40,7.4,601.8,19.0
161,onion,80,40,40,7.4,601.8,19.9
162,onion,80,40,40,7.4,601.8,20.8
163,onion,80,40,40,7.4,601.8,21.7
164,onion,80,40,40,7.4,601.8,22.6
165,onion,80,40,40,7.4,601.8,23.5
166,onion,80,40,40,7.4,601.8,24.4
167,onion,80,40,40,7.4,601.8,25.3
168,onion,80,40,40,7.4,601.8,26.2
