,Plant,N,P,K,pH,Rainfall,Temperature
0,palm-tree,12,16,56,4.0,1500.0,18.0
1,palm-tree,12,16,56,4.0,1500.0,18.9
2,palm-tree,12,16,56,4.0,1500.0,19.8
3,palm-tree,12,16,56,4.0,1500.0,20.7
4,palm-tree,12,16,56,4.0,1500.0,21.6
5,palm-tree,12,16,56,4.0,1500.0,22.5
6,palm-tree,12,16,56,4.0,1500.0,23.4
7,palm-tree,12,16,56,4.0,1500.0,24.3
8,palm-tree,12,16,56,4.0,1500.0,25.2
9,palm-tree,12,16,56,4.0,1500.0,26.1
10,palm-tree,12,16,56,4.0,1500.0,27.0
11,palm-tree,12,16,56,4.0,1500.0,27.9
12,palm-tree,12,16,56,4.0,1500.0,28.8
13,palm-tree,12,16,56,4.0,1500.0,29.7
14,palm-tree,12,16,56,4.9,1500.0,18.0
15,palm-tree,12,16,56,4.9,1500.0,18.9
16,palm-tree,12,16,56,4.9,1500.0,19.8
17,palm-tree,12,16,56,4.9,1500.0,20.7
18,palm-tree,12,16,56,4.9,1500.0,21.6
19,palm-tree,12,16,56,4.9,1500.0,22.5
20,palm-tree,12,16,56,4.9,1500.0,23.4
21,palm-tree,12,16,56,4.9,1500.0,24.3
22,palm-tree,12,16,56,4.9,1500.0,25.2
23,palm-tree,12,16,56,4.9,1500.0,26.1
24,palm-tree,12,16,56,4.9,1500.0,27.0
25,palm-tree,12,16,56,4.9,1500.0,27.9
26,palm-tree,12,16,56,4.9,1500.0,28.8
27,palm-tree,12,16,56,4.9,1500.0,29.7
28,palm-tree,12,16,56,4.0,1500.9,18.0
29,palm-tree,12,16,56,4.0,1500.9,18.9
30,palm-tree,12,16,56,4.0,1500.9,19.8
31,palm-tree,12,16,56,4.0,1500.9,20.7
32,palm-tree,12,16,56,4.0,1500.9,21.6
33,palm-tree,12,16,56,4.0,1500.9,22.5
34,palm-tree,12,16,56,4.0,1500.9,23.4
35,palm-tree,12,16,56,4.0,1500.9,24.3
36,palm-tree,12,16,56,4.0,1500.9,25.2
37,palm-tree,12,16,56,4.0,1500.9,26.1
38,palm-tree,12,16,56,4.0,1500.9,27.0
39,palm-tree,12,16,56,4.0,1500.9,27.9
40,palm-tree,12,16,56,4.0,1500.9,28.8
41,palm-tree,12,16,56,4.0,1500.9,29.7
42,palm-tree,12,16,56,4.9,1500.9,18.0
43,palm-tree,12,16,56,4.9,1500.9,18.9
44,palm-tree,12,16,56,4.9,1500.9,19.8
45,palm-tree,12,16,56,4.9,1500.9,20.7
46,palm-tree,12,16,56,4.9,1500.9,21.6
47,palm-tree,12,16,56,4.9,1500.9,22.5
48,palm-tree,12,16,56,4.9,1500.9,23.4
49,palm-tree,12,16,56,4.9,1500.9,24.3
50,palm-tree,12,16,56,4.9,1500.9,25.2
51,palm-tree,12,16,56,4.9,1500.9,26.1
52,palm-tree,12,16,56,4.9,1500.9,27.0
53,palm-tree,12,16,56,4.9,1500.9,27.9
54,palm-tree,12,16,56,4.9,1500.9,28.8
55,palm-tree,12,16,56,4.9,1500.9,29.7
56,palm-tree,12,16,56,4.0,1501.8,18.0
57,palm-tree,12,16,56,4.0,1501.8,18.9
58,palm-tree,12,16,56,4.0,1501.8,19.8
59,palm-tree,12,16,56,4.0,1501.8,20.7
60,palm-tree,12,16,56,4.0,1501.8,21.6
61,palm-tree,12,16,56,4.0,1501.8,22.5
62,palm-tree,12,16,56,4.0,1501.8,23.4
63,palm-tree,12,16,56,4.0,1501.8,24.3
64,palm-tree,12,16,56,4.0,1501.8,25.2
65,palm-tree,12,16,56,4.0,1501.8,26.1
66,palm-tree,12,16,56,4.0,1501.8,27.0
67,palm-tree,12,16,56,4.0,1501.8,27.9
68,palm-tree,12,16,56,4.0,1501.8,28.8
69,palm-tree,12,16,56,4.0,1501.8,29.7
70,palm-tree,12,16,56,4.9,1501.8,18.0
71,palm-tree,12,16,56,4.9,1501.8,18.9
72,palm-tree,12,16,56,4.9,1501.8,19.8
73,palm-tree,12,16,56,4.9,1501.8,20.7
74,palm-tree,12,16,56,4.9,1501.8,21.6
75,palm-tree,12,16,56,4.9,1501.8,22.5
76,palm-tree,12,16,56,4.9,1501.8,23.4
77,palm-tree,12,16,56,4.9,1501.8,24.3
78,palm-tree,12,16,56,4.9,1501.8,25.2
79,palm-tree,12,16,56,4.9,1501.8,26.1
80,palm-tree,12,16,56,4.9,1501.8,27.0
81,palm-tree,12,16,56,4.9,1501.8,27.9
82,palm-tree,12,16,56,4.9,1501.8,28.8
83,palm-tree,12,16,56,4.9,1501.8,29.7
84,palm-tree,12,16,56,4.0,1502.7,18.0
85,palm-tree,12,16,56,4.0,1502.7,18.9
86,palm-tree,12,16,56,4.0,1502.7,19.8
87,palm-tree,12,16,56,4.0,1502.7,20.7
88,palm-tree,12,16,56,4.0,1502.7,21.6
89,palm-tree,12,16,56,4.0,1502.7,22.5
90,palm-tree,12,16,56,4.0,1502.7,23.4
91,palm-tree,12,16,56,4.0,1502.7,24.3
92,palm-tree,12,16,56,4.0,1502.7,25.2
93,palm-tree,12,16,56,4.0,1502.7,26.1
94,palm-tree,12,16,56,4.0,1502.7,27.0
95,palm-tree,12,16,56,4.0,1502.7,27.9
96,palm-tree,12,16,56,4.0,1502.7,28.8
97,palm-tree,12,16,56,4.0,1502.7,29.7
