,Plant,N,P,K,pH,Rainfall,Temperature
0,peanut,5,20,10,4.0,400.0,28.0
1,peanut,5,20,10,4.0,400.0,28.9
2,peanut,5,20,10,4.0,400.0,29.8
3,peanut,5,20,10,4.0,400.0,30.7
4,peanut,5,20,10,4.0,400.0,31.6
5,peanut,5,20,10,4.0,400.0,32.5
6,peanut,5,20,10,4.0,400.0,33.4
7,peanut,5,20,10,4.0,400.0,34.3
8,peanut,5,20,10,4.9,400.0,28.0
9,peanut,5,20,10,4.9,400.0,28.9
10,peanut,5,20,10,4.9,400.0,29.8
11,peanut,5,20,10,4.9,400.0,30.7
12,peanut,5,20,10,4.9,400.0,31.6
13,peanut,5,20,10,4.9,400.0,32.5
14,peanut,5,20,10,4.9,400.0,33.4
15,peanut,5,20,10,4.9,400.0,34.3
16,peanut,5,20,10,4.0,400.9,28.0
17,peanut,5,20,10,4.0,400.9,28.9
18,peanut,5,20,10,4.0,400.9,29.8
19,peanut,5,20,10,4.0,400.9,30.7
20,peanut,5,20,10,4.0,400.9,31.6
21,peanut,5,20,10,4.0,400.9,32.5
22,peanut,5,20,10,4.0,400.9,33.4
23,peanut,5,20,10,4.0,400.9,34.3
24,peanut,5,20,10,4.9,400.9,28.0
25,peanut,5,20,10,4.9,400.9,28.9
26,peanut,5,20,10,4.9,400.9,29.8
27,peanut,5,20,10,4.9,400.9,30.7
28,peanut,5,20,10,4.9,400.9,31.6
29,peanut,5,20,10,4.9,400.9,32.5
30,peanut,5,20,10,4.9,400.9,33.4
31,peanut,5,20,10,4.9,400.9,34.3
32,peanut,5,20,10,4.0,401.8,28.0
33,peanut,5,20,10,4.0,401.8,28.9
34,peanut,5,20,10,4.0,401.8,29.8
35,peanut,5,20,10,4.0,401.8,30.7
36,peanut,5,20,10,4.0,401.8,31.6
37,peanut,5,20,10,4.0,401.8,32.5
38,peanut,5,20,10,4.0,401.8,33.4
39,peanut,5,20,10,4.0,401.8,34.3
40,peanut,5,20,10,4.9,401.8,28.0
41,peanut,5,20,10,4.9,401.8,28.9
42,peanut,5,20,10,4.9,401.8,29.8
43,peanut,5,20,10,4.9,401.8,30.7
44,peanut,5,20,10,4.9,401.8,31.6
45,peanut,5,20,10,4.9,401.8,32.5
46,peanut,5,20,10,4.9,401.8,33.4
47,peanut,5,20,10,4.9,401.8,34.3
48,peanut,5,20,10,4.0,402.7,28.0
49,peanut,5,20,10,4.0,402.7,28.9
50,peanut,5,20,10,4.0,402.7,29.8
51,peanut,5,20,10,4.0,402.7,30.7
52,peanut,5,20,10,4.0,402.7,31.6
53,peanut,5,20,10,4.0,402.7,32.5
54,peanut,5,20,10,4.0,402.7,33.4
55,peanut,5,20,10,4.0,402.7,34.3
56,peanut,5,20,10,4.9,402.7,28.0
57,peanut,5,20,10,4.9,402.7,28.9
58,peanut,5,20,10,4.9,402.7,29.8
59,peanut,5,20,10,4.9,402.7,30.7
60,peanut,5,20,10,4.9,402.7,31.6
61,peanut,5,20,10,4.9,402.7,32.5
62,peanut,5,20,10,4.9,402.7,33.4
63,peanut,5,20,10,4.9,402.7,34.3
64,peanut,5,20,10,4.0,403.6,28.0
65,peanut,5,20,10,4.0,403.6,28.9
66,peanut,5,20,10,4.0,403.6,29.8
67,peanut,5,20,10,4.0,403.6,30.7
68,peanut,5,20,10,4.0,403.6,31.6
69,peanut,5,20,10,4.0,403.6,32.5
70,peanut,5,20,10,4.0,403.6,33.4
71,peanut,5,20,10,4.0,403.6,34.3
72,peanut,5,20,10,4.9,403.6,28.0
73,peanut,5,20,10,4.9,403.6,28.9
74,peanut,5,20,10,4.9,403.6,29.8
75,peanut,5,20,10,4.9,403.6,30.7
76,peanut,5,20,10,4.9,403.6,31.6
77,peanut,5,20,10,4.9,403.6,32.5
78,peanut,5,20,10,4.9,403.6,33.4
79,peanut,5,20,10,4.9,403.6,34.3
80,peanut,5,20,10,4.0,404.5,28.0
81,peanut,5,20,10,4.0,404.5,28.9
82,peanut,5,20,10,4.0,404.5,29.8
83,peanut,5,20,10,4.0,404.5,30.7
84,peanut,5,20,10,4.0,404.5,31.6
85,peanut,5,20,10,4.0,404.5,32.5
86,peanut,5,20,10,4.0,404.5,33.4
87,peanut,5,20,10,4.0,404.5,34.3
88,peanut,5,20,10,4.9,404.5,28.0
89,peanut,5,20,10,4.9,404.5,28.9
90,peanut,5,20,10,4.9,404.5,29.8
91,peanut,5,20,10,4.9,404.5,30.7
92,peanut,5,20,10,4.9,404.5,31.6
93,peanut,5,20,10,4.9,404.5,32.5
94,peanut,5,20,10,4.9,404.5,33.4
95,peanut,5,20,10,4.9,404.5,34.3
96,peanut,5,20,10,4.0,405.4,28.0
97,peanut,5,20,10,4.0,405.4,28.9
98,peanut,5,20,10,4.0,405.4,29.8
99,peanut,5,20,10,4.0,405.4,30.7
100,peanut,5,20,10,4.0,405.4,31.6
101,peanut,5,20,10,4.0,405.4,32.5
