,Plant,N,P,K,pH,Rainfall,Temperature
0,tomatos,50,130,250,5.0,700.0,20.0
1,tomatos,50,130,250,5.0,700.0,20.9
2,tomatos,50,130,250,5.0,700.0,21.8
3,tomatos,50,130,250,5.0,700.0,22.7
4,tomatos,50,130,250,5.0,700.0,23.6
5,tomatos,50,130,250,5.0,700.0,24.5
6,tomatos,50,130,250,5.0,700.0,25.4
7,tomatos,50,130,250,5.0,700.0,26.3
8,tomatos,50,130,250,5.0,700.0,27.2
9,tomatos,50,130,250,5.0,700.0,28.1
10,tomatos,50,130,250,5.0,700.0,29.0
11,tomatos,50,130,250,5.0,700.0,29.9
12,tomatos,50,130,250,5.0,700.0,30.8
13,tomatos,50,130,250,5.0,700.0,31.7
14,tomatos,50,130,250,5.0,700.0,32.6
15,tomatos,50,130,250,5.0,700.0,33.5
16,tomatos,50,130,250,5.0,700.0,34.4
17,tomatos,50,130,250,5.9,700.0,20.0
18,tomatos,50,130,250,5.9,700.0,20.9
19,tomatos,50,130,250,5.9,700.0,21.8
20,tomatos,50,130,250,5.9,700.0,22.7
21,tomatos,50,130,250,5.9,700.0,23.6
22,tomatos,50,130,250,5.9,700.0,24.5
23,tomatos,50,130,250,5.9,700.0,25.4
24,tomatos,50,130,250,5.9,700.0,26.3
25,tomatos,50,130,250,5.9,700.0,27.2
26,tomatos,50,130,250,5.9,700.0,28.1
27,tomatos,50,130,250,5.9,700.0,29.0
28,tomatos,50,130,250,5.9,700.0,29.9
29,tomatos,50,130,250,5.9,700.0,30.8
30,tomatos,50,130,250,5.9,700.0,31.7
31,tomatos,50,130,250,5.9,700.0,32.6
32,tomatos,50,130,250,5.9,700.0,33.5
33,tomatos,50,130,250,5.9,700.0,34.4
34,tomatos,50,130,250,6.8,700.0,20.0
35,tomatos,50,130,250,6.8,700.0,20.9
36,tomatos,50,130,250,6.8,700.0,21.8
37,tomatos,50,130,250,6.8,700.0,22.7
38,tomatos,50,130,250,6.8,700.0,23.6
39,tomatos,50,130,250,6.8,700.0,24.5
40,tomatos,50,130,250,6.8,700.0,25.4
41,tomatos,50,130,250,6.8,700.0,26.3
42,tomatos,50,130,250,6.8,700.0,27.2
43,tomatos,50,130,250,6.8,700.0,28.1
44,tomatos,50,130,250,6.8,700.0,29.0
45,tomatos,50,130,250,6.8,700.0,29.9
46,tomatos,50,130,250,6.8,700.0,30.8
47,tomatos,50,130,250,6.8,700.0,31.7
48,tomatos,50,130,250,6.8,700.0,32.6
49,tomatos,50,130,250,6.8,700.0,33.5
50,tomatos,50,130,250,6.8,700.0,34.4
51,tomatos,50,130,250,5.0,700.9,20.0
52,tomatos,50,130,250,5.0,700.9,20.9
53,tomatos,50,130,250,5.0,700.9,21.8
54,tomatos,50,130,250,5.0,700.9,22.7
55,tomatos,50,130,250,5.0,700.9,23.6
56,tomatos,50,130,250,5.0,700.9,24.5
57,tomatos,50,130,250,5.0,700.9,25.4
58,tomatos,50,130,250,5.0,700.9,26.3
59,tomatos,50,130,250,5.0,700.9,27.2
60,tomatos,50,130,250,5.0,700.9,28.1
61,tomatos,50,130,250,5.0,700.9,29.0
62,tomatos,50,130,250,5.0,700.9,29.9
63,tomatos,50,130,250,5.0,700.9,30.8
64,tomatos,50,130,250,5.0,700.9,31.7
65,tomatos,50,130,250,5.0,700.9,32.6
66,tomatos,50,130,250,5.0,700.9,33.5
67,tomatos,50,130,250,5.0,700.9,34.4
68,tomatos,50,130,250,5.9,700.9,20.0
69,tomatos,50,130,250,5.9,700.9,20.9
70,tomatos,50,130,250,5.9,700.9,21.8
71,tomatos,50,130,250,5.9,700.9,22.7
72,tomatos,50,130,250,5.9,700.9,23.6
73,tomatos,50,130,250,5.9,700.9,24.5
74,tomatos,50,130,250,5.9,700.9,25.4
75,tomatos,50,130,250,5.9,700.9,26.3
76,tomatos,50,130,250,5.9,700.9,27.2
77,tomatos,50,130,250,5.9,700.9,28.1
78,tomatos,50,130,250,5.9,700.9,29.0
79,tomatos,50,130,250,5.9,700.9,29.9
80,tomatos,50,130,250,5.9,700.9,30.8
81,tomatos,50,130,250,5.9,700.9,31.7
82,tomatos,50,130,250,5.9,700.9,32.6
83,tomatos,50,130,250,5.9,700.9,33.5
84,tomatos,50,130,250,5.9,700.9,34.4
85,tomatos,50,130,250,6.8,700.9,20.0
86,tomatos,50,130,250,6.8,700.9,20.9
87,tomatos,50,130,250,6.8,700.9,21.8
88,tomatos,50,130,250,6.8,700.9,22.7
89,tomatos,50,130,250,6.8,700.9,23.6
90,tomatos,50,130,250,6.8,700.9,24.5
91,tomatos,50,130,250,6.8,700.9,25.4
92,tomatos,50,130,250,6.8,700.9,26.3
93,tomatos,50,130,250,6.8,700.9,27.2
94,tomatos,50,130,250,6.8,700.9,28.1
95,tomatos,50,130,250,6.8,700.9,29.0
96,tomatos,50,130,250,6.8,700.9,29.9
97,tomatos,50,130,250,6.8,700.9,30.8
98,tomatos,50,130,250,6.8,700.9,31.7
99,tomatos,50,130,250,6.8,700.9,32.6
100,tomatos,50,130,250,6.8,700.9,33.5
101,tomatos,50,130,250,6.8,700.9,34.4
102,tomatos,50,130,250,5.0,701.8,20.0
103,tomatos,50,130,250,5.0,701.8,20.9
104,tomatos,50,130,250,5.0,701.8,21.8
105,tomatos,50,130,250,5.0,701.8,22.7
106,tomatos,50,130,250,5.0,701.8,23.6
107,tomatos,50,130,250,5.0,701.8,24.5
108,tomatos,50,130,250,5.0,701.8,25.4
109,tomatos,50,130,250,5.0,701.8,26.3
110,tomatos,50,130,250,5.0,701.8,27.2
111,tomatos,50,130,250,5.0,701.8,28.1
112,tomatos,50,130,250,5.0,701.8,29.0
113,tomatos,50,130,250,5.0,701.8,29.9
114,tomatos,50,130,250,5.0,701.8,30.8
115,tomatos,50,130,250,5.0,701.8,31.7
116,tomatos,50,130,250,5.0,701.8,32.6
117,tomatos,50,130,250,5.0,701.8,33.5
118,tomatos,50,130,250,5.0,701.8,34.4
119,tomatos,50,130,250,5.9,701.8,20.0
120,tomatos,50,130,250,5.9,701.8,20.9
121,tomatos,50,130,250,5.9,701.8,21.8
122,tomatos,50,130,250,5.9,701.8,22.7
123,tomatos,50,130,250,5.9,701.8,23.6
124,tomatos,50,130,250,5.9,701.8,24.5
125,tomatos,50,130,250,5.9,701.8,25.4
126,tomatos,50,130,250,5.9,701.8,26.3
127,tomatos,50,130,250,5.9,701.8,27.2
128,tomatos,50,130,250,5.9,701.8,28.1
129,tomatos,50,130,250,5.9,701.8,29.0
130,tomatos,50,130,250,5.9,701.8,29.9
131,tomatos,50,130,250,5.9,701.8,30.8
132,tomatos,50,130,250,5.9,701.8,31.7
133,tomatos,50,130,250,5.9,701.8,32.6
134,tomatos,50,130,250,5.9,701.8,33.5
135,tomatos,50,130,250,5.9,701.8,34.4
136,tomatos,50,130,250,6.8,701.8,20.0
137,tomatos,50,130,250,6.8,701.8,20.9
138,tomatos,50,130,250,6.8,701.8,21.8
139,tomatos,50,130,250,6.8,701.8,22.7
140,tomatos,50,130,250,6.8,701.8,23.6
141,tomatos,50,130,250,6.8,701.8,24.5
142,tomatos,50,130,250,6.8,701.8,25.4
143,tomatos,50,130,250,6.8,701.8,26.3
144,tomatos,50,130,250,6.8,701.8,27.2
145,tomatos,50,130,250,6.8,701.8,28.1
146,tomatos,50,130,250,6.8,701.8,29.0
147,tomatos,50,130,250,6.8,701.8,29.9
148,tomatos,50,130,250,6.8,701.8,30.8
149,tomatos,50,130,250,6.8,701.8,31.7
150,tomatos,50,130,250,6.8,701.8,32.6
151,tomatos,50,130,250,6.8,701.8,33.5
152,tomatos,50,130,250,6.8,701.8,34.4
153,tomatos,50,130,250,5.0,702.7,20.0
154,tomatos,50,130,250,5.0,702.7,20.9
155,tomatos,50,130,250,5.0,702.7,21.8
156,tomatos,50,130,250,5.0,702.7,22.7
157,tomatos,50,130,250,5.0,702.7,23.6
158,tomatos,50,130,250,5.0,702.7,24.5
159,tomatos,50,130,250,5.0,702.7,25.4
160,tomatos,50,130,250,5.0,702.7,26.3
161,tomatos,50,130,250,5.0,702.7,27.2
162,tomatos,50,130,250,5.0,702.7,28.1
163,tomatos,50,130,250,5.0,702.7,29.0
164,tomatos,50,130,250,5.0,702.7,29.9
165,tomatos,50,130,250,5.0,702.7,30.8
166,tomatos,50,130,250,5.0,702.7,31.7
167,tomatos,50,130,250,5.0,702.7,32.6
168,tomatos,50,130,250,5.0,702.7,33.5
169,tomatos,50,130,250,5.0,702.7,34.4
170,tomatos,50,130,250,5.9,702.7,20.0
171,tomatos,50,130,250,5.9,702.7,20.9
172,tomatos,50,130,250,5.9,702.7,21.8
173,tomatos,50,130,250,5.9,702.7,22.7
174,tomatos,50,130,250,5.9,702.7,23.6
175,tomatos,50,130,250,5.9,702.7,24.5
176,tomatos,50,130,250,5.9,702.7,25.4
177,tomatos,50,130,250,5.9,702.7,26.3
178,tomatos,50,130,250,5.9,702.7,27.2
179,tomatos,50,130,250,5.9,702.7,28.1
180,tomatos,50,130,250,5.9,702.7,29.0
181,tomatos,50,130,250,5.9,702.7,29.9
182,tomatos,50,130,250,5.9,702.7,30.8
183,tomatos,50,130,250,5.9,702.7,31.7
184,tomatos,50,130,250,5.9,702.7,32.6
185,tomatos,50,130,250,5.9,702.7,33.5
186,tomatos,50,130,250,5.9,702.7,34.4
187,tomatos,50,130,250,6.8,702.7,20.0
188,tomatos,50,130,250,6.8,702.7,20.9
189,tomatos,50,130,250,6.8,702.7,21.8
190,tomatos,50,130,250,6.8,702.7,22.7
191,tomatos,50,130,250,6.8,702.7,23.6
192,tomatos,50,130,250,6.8,702.7,24.5
193,tomatos,50,130,250,6.8,702.7,25.4
194,tomatos,50,130,250,6.8,702.7,26.3
195,tomatos,50,130,250,6.8,702.7,27.2
196,tomatos,50,130,250,6.8,702.7,28.1
197,tomatos,50,130,250,6.8,702.7,29.0
198,tomatos,50,130,250,6.8,702.7,29.9
199,tomatos,50,130,250,6.8,702.7,30.8
200,tomatos,50,130,250,6.8,702.7,31.7
201,tomatos,50,130,250,6.8,702.7,32.6
202,tomatos,50,130,250,6.8,702.7,33.5
203,tomatos,50,130,250,6.8,702.7,34.4
204,tomatos,50,130,250,5.0,703.6,20.0
205,tomatos,50,130,250,5.0,703.6,20.9
206,tomatos,50,130,250,5.0,703.6,21.8
207,tomatos,50,130,250,5.0,703.6,22.7
208,tomatos,50,130,250,5.0,703.6,23.6
209,tomatos,50,130,250,5.0,703.6,24.5
210,tomatos,50,130,250,5.0,703.6,25.4
211,tomatos,50,130,250,5.0,703.6,26.3
212,tomatos,50,130,250,5.0,703.6,27.2
213,tomatos,50,130,250,5.0,703.6,28.1
214,tomatos,50,130,250,5.0,703.6,29.0
215,tomatos,50,130,250,5.0,703.6,29.9
216,tomatos,50,130,250,5.0,703.6,30.8
217,tomatos,50,130,250,5.0,703.6,31.7
218,tomatos,50,130,250,5.0,703.6,32.6
219,tomatos,50,130,250,5.0,703.6,33.5
220,tomatos,50,130,250,5.0,703.6,34.4
221,tomatos,50,130,250,5.9,703.6,20.0
222,tomatos,50,130,250,5.9,703.6,20.9
223,tomatos,50,130,250,5.9,703.6,21.8
224,tomatos,50,130,250,5.9,703.6,22.7
225,tomatos,50,130,250,5.9,703.6,23.6
226,tomatos,50,130,250,5.9,703.6,24.5
227,tomatos,50,130,250,5.9,703.6,25.4
228,tomatos,50,130,250,5.9,703.6,26.3
229,tomatos,50,130,250,5.9,703.6,27.2
230,tomatos,50,130,250,5.9,703.6,28.1
231,tomatos,50,130,250,5.9,703.6,29.0
232,tomatos,50,130,250,5.9,703.6,29.9
233,tomatos,50,130,250,5.9,703.6,30.8
234,tomatos,50,130,250,5.9,703.6,31.7
235,tomatos,50,130,250,5.9,703.6,32.6
236,tomatos,50,130,250,5.9,703.6,33.5
237,tomatos,50,130,250,5.9,703.6,34.4
238,tomatos,50,130,250,6.8,703.6,20.0
239,tomatos,50,130,250,6.8,703.6,20.9
240,tomatos,50,130,250,6.8,703.6,21.8
241,tomatos,50,130,250,6.8,703.6,22.7
242,tomatos,50,130,250,6.8,703.6,23.6
243,tomatos,50,130,250,6.8,703.6,24.5
244,tomatos,50,130,250,6.8,703.6,25.4
245,tomatos,50,130,250,6.8,703.6,26.3
246,tomatos,50,130,250,6.8,703.6,27.2
247,tomatos,50,130,250,6.8,703.6,28.1
248,tomatos,50,130,250,6.8,703.6,29.0
249,tomatos,50,130,250,6.8,703.6,29.9
250,tomatos,50,130,250,6.8,703.6,30.8
251,tomatos,50,130,250,6.8,703.6,31.7
252,tomatos,50,130,250,6.8,703.6,32.6
253,tomatos,50,130,250,6.8,703.6,33.5
254,tomatos,50,130,250,6.8,703.6,34.4
255,tomatos,50,130,250,5.0,704.5,20.0
256,tomatos,50,130,250,5.0,704.5,20.9
257,tomatos,50,130,250,5.0,704.5,21.8
258,tomatos,50,130,250,5.0,704.5,22.7
259,tomatos,50,130,250,5.0,704.5,23.6
260,tomatos,50,130,250,5.0,704.5,24.5
261,tomatos,50,130,250,5.0,704.5,25.4
262,tomatos,50,130,250,5.0,704.5,26.3
263,tomatos,50,130,250,5.0,704.5,27.2
264,tomatos,50,130,250,5.0,704.5,28.1
